No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,alpha,hsigma_barra,beta_barra,BIAS,BLEV_barra,BP,BTOP_barra,CETOP_Barra,DEA,DIF,DP,DTOA_barra,EP,ETOP_barra,G/PE,LNCAP_barra,MACD,MLEV_barra,M_reverse_180,M_reverse_20,M_reverse_60,NCFP,OCFP,OCF_G_q,PSY,Profit_G_q,ROA_q,ROA_ttm,ROE_G_q,ROE_q,ROE_ttm,RSI,SP,STOA_Barra,STOM_Barra,STOQ_Barra,Sales_G_q,assetturnover_q,assetturnover_ttm,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,cashratio,cmra_barra,currentratio,dastd_barra,debtequityratio,epcut_ttm,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,financial_leverage,grossprofitmargin_q,grossprofitmargin_ttm,holder_avgpctchange,momentum_barra,nonlinearsize_barra,operationcashflowratio_q,operationcashflowratio_ttm,profitmargin_q,profitmargin_ttm,return_12m,return_1m,return_3m,return_6m,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
1,000001.SZ,深发展A,1991/4/3,银行,银行,36147248990,TRUE,18.35334477,0.732350501,0.066414471,0.972158672,1.276447899,1.126496025,-0.44296741,-1.019433359,1.967427094,2.771799275,2.264958931,-0.994091183,0.045638677,0.662293083,0.662713356,0.659638319,8.314782257,1.251816395,0.561531533,-1.599839776,-0.729606973,1.023358599,1.502412582,1.733830944,0.851708393,0.704870481,0.133071979,0.521389041,0.570616861,-0.371672176,0.736322873,0.615081786,-0.346101314,-0.002665452,-0.149977343,0.414174573,-0.013712991,0.240703023,0.131822003,0.131504364,1.269819493,1.731011466,1.31860215,0.964930101,0.203077678,-0.313553543,0.020512945,0.689924437,1.133010565,0.751287659,-0.05931156,0.598221537,0.268691731,0.086946611,-0.013687015,0.222508302,0.273694539,0.259989444,0.395994587,-5.371013826,1.638529075,1.668237587,0.476866338,0.613571188,-0.200351354,1.127351284,0.820548011,0.145816073,0.495211163,0.926002181,0.791318922,0.328165422,-0.227032068,0.202360537,-0.05058898,-0.192397728,-0.509782188,0.157714082,-0.083508088,-0.169841073
2,000002.SZ,万科A,1991/1/29,房地产,房地产,68148993440,TRUE,1.997146933,-0.172798655,-0.407413825,0.143067761,-0.562942156,0.483526609,0.008999913,2.396431998,-0.080727238,-2.882291604,1.307223338,-0.519068029,0.822648871,-0.504539892,-0.50427904,0.68689355,-1.388519326,1.304665731,0.73105863,-0.967289946,0.331555517,0.619925268,-0.868722956,-0.791693419,0.404650131,-0.681596912,-0.260506068,-1.400281055,-1.132769329,-0.304711881,-1.417083254,-0.677546518,-0.146656444,0.412167639,0.595179269,-0.039242408,0.849270109,1.332212333,-0.488158817,-0.229776832,0.524049173,-0.57574465,0.330130756,0.461555491,-0.662312069,-1.103693558,-0.327443085,-0.182653067,0.561730132,-0.183969469,-0.141602341,-0.431913951,-0.372180534,-0.268339691,0.841328239,-0.510497422,-0.373625994,-0.052743552,-0.291777775,5.13843766,-0.15022632,-0.035222064,-1.112068943,-0.721312855,-0.434772112,-0.618868754,-0.721738173,0.330374385,0.006598668,-0.541243607,-0.352975201,0.013385513,0.294131196,-0.104774353,0.234338721,0.227080199,0.099646909,-0.349265136,-0.211466514,0.22871532
3,000005.SZ,世纪星源,1990/12/10,房地产,公用事业,2514417419,TRUE,3.135888502,-0.130168813,-0.073274264,-0.292129203,-0.186006502,-1.631866674,-0.858901486,-0.736459837,1.010737202,0.021188423,-0.275585128,-0.662893755,-0.458741291,-1.065752875,-1.067079591,-0.576328742,0.026358308,-0.658678807,-1.726063207,-0.732231288,-0.400128311,0.856851103,0.444912636,0.1418978,1.033206979,0.570715453,-0.459680718,-0.047696862,-0.489010952,-0.306136294,-0.130013384,-0.927437729,-0.883032753,-0.618576481,-0.648126536,-0.514953788,-0.317110179,0.478390953,-0.320470282,-0.579559984,0.210100617,0.249325857,0.677380628,0.529487569,-0.661187685,0.064575808,-2.297462479,-0.361307243,-1.762584221,-0.509686517,-0.08956589,-0.275352023,-0.318508927,-0.163419119,-0.782894758,2.079198901,2.338565022,-0.338444303,-0.150956747,-0.10176629,2.163758148,-1.438393123,0.92633358,0.335738922,-0.220036742,-0.348030499,0.053540516,0.526350061,-0.95626029,-0.851826907,0.096126654,-0.108444946,-0.885955903,-0.630242085,-0.606172439,-0.705196795,-0.129231249,-0.688691742,-0.087725778,0.262488672
4,000006.SZ,深振业A,1992/4/27,房地产,房地产,2779364276,TRUE,18.16513761,-0.403720341,-0.807021592,0.193051136,-0.436483927,1.373919537,0.622463845,-0.131335874,-1.908399349,-0.090679214,-0.411358461,0.585397991,0.893045297,2.516490208,2.519481385,1.813574522,0.060779428,-0.753892776,1.275346977,-0.880672122,-1.196594492,-1.15432255,-2.283015163,-1.903116346,-0.390524035,-0.024714138,-0.703143425,-0.364365128,0.71714157,-0.579850236,-0.427288,1.239736569,0.879690228,0.215764787,-0.208631738,-0.566239886,-0.083234953,-1.461138013,-0.489739462,-0.21677528,0.216990657,-0.458611786,0.334191812,0.023076801,-0.679619381,-0.301652423,0.322290122,-0.459113889,1.473112671,3.036382062,-0.613373946,-0.469732718,-0.689902506,-0.67368615,0.982493611,1.230598037,2.180291513,-1.411898422,-0.42204743,-0.200710435,2.168145019,-1.60957939,-0.507136664,2.053378011,-0.152703928,-0.541574749,-0.564222752,-0.671273874,0.01404632,-0.693213465,-0.415453883,-0.563703025,-0.331481905,-0.649764753,-0.201109579,-0.412660576,0.127252288,-0.778165602,-0.551425489,-0.642918497
5,000009.SZ,中国宝安,1991/6/25,房地产,综合,6066650564,TRUE,32.88590604,2.126901188,1.138544887,0.071064092,2.718756159,-0.896411694,-0.841014838,-0.845494837,1.11816807,0.320306788,1.233559896,-0.957412951,0.228477572,-0.303552607,-0.303722151,-1.065794792,0.328979646,1.658130439,-0.008878716,-0.720398495,1.778738759,1.71942803,-0.505658192,0.673092851,-0.759492583,0.55325152,-0.226286711,0.182880535,-0.082277681,-0.135821778,-0.046535418,0.178620452,1.426120995,0.120588931,0.717672598,1.698431235,1.654195441,2.711450233,0.46985886,0.158370764,1.368342354,2.796985264,2.665650059,2.518796914,-0.197518551,1.47912863,-0.742204334,0.901219553,-0.464506046,-1.368792724,3.03224325,2.186409041,2.613855551,2.934876866,-0.122849088,-0.20464622,-0.325109797,-0.023018242,1.222291005,-0.833358543,-0.260081009,0.57797071,-0.393400464,-1.590786835,0.761740737,2.756671435,0.65982735,2.935436812,-0.301179159,1.070464576,0.728161359,0.532822318,0.704083411,2.264501707,1.836681092,1.570687194,0.988818636,2.579983031,1.664456956,2.886550185
6,000012.SZ,南玻A,1992/2/28,建材,建筑材料,8752619786,TRUE,-5.490549055,0.340347871,0.890644904,0.304659749,2.231583492,0.01005277,-0.317521887,-0.674413423,0.031397364,1.457008248,1.4003019,0.786138285,0.041526003,0.074361219,0.074680146,0.338967247,0.467616308,1.748056949,-0.477946052,-0.644509781,-0.736685261,0.366698133,-1.631325571,0.080082454,-0.571830371,0.871198679,-0.207181933,-0.046333529,0.04048436,-0.060122944,-0.08351777,0.067676325,-1.64485404,-0.419408698,-0.047988513,0.358092908,0.173346864,-0.889502158,-0.477499238,-0.423811139,0.091433858,0.192320653,0.146562186,0.084826541,-0.506172744,-0.735590648,-0.881884403,0.75159097,-0.287452037,0.099188968,-0.465876162,1.883148926,0.599901515,-0.086380375,-0.225099295,0.227268962,0.302196018,0.027430141,-0.342897676,-1.194370361,-0.0118792,0.170893906,0.261836641,0.647670869,0.115356228,1.827786986,0.891659926,-1.077693614,0.259826464,-0.25024429,0.521706886,0.714224204,-0.229714282,-0.075094716,-0.196933247,-0.177754842,-0.43038738,0.304202808,-0.584960548,-0.673933679
7,000014.SZ,沙河股份,1992/6/2,房地产,房地产,1518840058,TRUE,0,1.020048985,1.414305095,-0.974188109,-0.636730535,1.542085438,-1.441032207,-0.674686022,-1.660540237,2.26815755,1.165510452,-0.183386064,1.192656184,-1.583297705,-1.585384089,-0.518002538,-0.146842915,-1.562032649,1.342836261,-0.148834603,0.635104023,-1.805673206,0.520248725,-0.801129194,0.344392077,0.580710698,-1.005323815,-1.330569421,-1.259256478,2.313463452,-2.290218646,-2.029418963,-0.074295019,-0.617767863,-1.029921644,-0.180120607,-0.871276655,-1.863769442,-0.498962133,-0.549789255,-1.181337642,-0.410333966,-0.952845336,-1.133845124,-0.475432045,0.385230413,0.028908652,0.373708074,1.563724324,-1.102675176,-0.235608018,0.727516984,0.168345048,-0.066121927,1.807232887,0.328852804,0.337721568,2.13054252,1.403106917,0.363643051,0.352015662,1.73306876,-2.323833605,-2.694031004,2.723419763,-1.103832204,1.51472791,-0.339334949,0.006481413,0.994352188,0.243209821,-0.004530328,-0.924169568,-0.489984941,-0.878446823,-1.00514653,-0.144335109,-0.360282361,-0.443486876,-0.397665594
8,000016.SZ,深康佳A,1992/3/27,家电,家用电器,2730175398,TRUE,20.27777778,0.198067211,-0.978590258,0.085632358,-0.209080602,-0.307763017,1.739639248,-1.135895312,-0.635502077,-0.704829524,-0.519031082,-0.854823279,0.342537946,1.237106004,1.238355718,1.859374729,0.020544065,0.094880852,-0.379962346,-1.480693407,-0.296304869,0.246604595,1.149462827,-0.675227787,-0.781548074,0.295536019,2.189854336,0.295535961,-0.274687009,2.056780493,0.490307639,0.094312118,-1.523736929,1.564266857,0.564110466,0.122772811,0.113360874,-0.078089418,0.719803012,0.30008715,0.44868431,-0.28038943,0.008018606,-0.281522297,0.365926809,0.478427783,-0.070550103,-0.704384979,-0.337227504,1.601018997,-0.269693094,-0.240237859,-0.383428303,-0.356829269,-0.123526842,0.031270167,-0.027153273,-0.263109382,0.681034348,-0.754575006,0.076464354,-0.718884706,0.072832643,0.039501703,1.85884331,-0.150725194,-0.711746123,0.37404542,-0.340972895,-1.245091275,-0.352513106,-0.675838434,0.361289424,-0.215179138,0.03162496,-0.218230339,0.754008088,-0.499604611,-0.203964499,-0.171644999
9,000019.SZ,深深宝A,1992/10/12,食品饮料,食品饮料,914470206.6,TRUE,-1.779935275,-0.442720715,0.850979167,1.282983538,-0.196589596,0.081441177,-0.382247708,-0.598770704,-0.480171827,0.304374327,0.228246179,-0.484123944,-0.602269962,1.155506108,1.156378552,-0.069336395,-0.28724863,-0.00158285,-0.069926514,-0.513265497,0.480652427,1.240962339,0.096114465,-0.723274965,-0.643922699,0.956253309,1.997570596,1.109525859,0.852562545,1.889605284,0.847672119,1.083442373,0.690635325,-0.793764735,0.031210205,0.844985832,0.919560875,-0.310493232,-1.107270321,-1.087019936,1.242218007,2.57913653,2.425868365,1.97836617,-0.241676132,0.991612155,-0.560815172,1.493258403,0.045119848,0.616125994,0.665315458,-0.699993184,0.19294491,0.702296733,-0.429789041,-0.766193286,-0.934141092,-0.106777329,-0.755250567,0.239889139,-0.52516017,-0.7454509,2.550039151,0.893172088,-0.949297429,0.537795249,1.108788053,-0.967868707,1.110870386,0.532822711,1.314008312,1.587732863,-0.202002534,1.112890963,0.740471909,0.452996207,-0.009749369,0.368216284,1.282859033,0.160190132
10,000021.SZ,长城开发,1994/2/2,电子元器件,计算机,4239279271,TRUE,28.1124498,-1.171238126,-1.417340589,-0.008925364,-0.320581906,-0.662702922,1.216236383,0.081658547,0.321168349,-0.55905247,-0.289456798,1.569588446,-0.687045446,1.571836856,1.57362125,-1.357580954,0.301628164,0.655570724,-0.651767195,-0.204733891,0.088171054,-1.002316055,-1.577030288,-0.359246388,0.32327785,-0.413035409,0.198722909,0.266449805,0.38503734,0.545344124,-0.007189117,0.257798922,-0.204837821,2.695778979,-0.520753419,-0.638486084,-0.571061177,0.138259175,3.039233348,3.038303458,-0.77806808,-0.784516328,-0.607338088,-0.764088994,1.208218442,0.463382226,0.902728762,-1.055574426,-0.513774812,1.002741622,-0.822537899,-0.730673806,-0.772660389,-0.78809603,-0.545852783,-1.097345979,-1.434841054,0.959647666,-1.367721549,-0.697575435,0.081729142,-0.057016767,-0.407149091,-0.435965977,-1.181734297,-0.255786282,-0.77513756,-0.421230059,-0.686676794,-0.729849997,-0.829936744,-0.915496154,-0.554900829,-0.64605477,-0.477473126,-0.576898709,-1.125341897,-0.737379368,-0.742668828,-0.774335681
