"Date","Open","High","Low","Close","Volume","Adj Close"
2015-01-13,137.9671,142.7671,136.9671,138.2271,119222000,138.2271
2015-01-14,138.5455,141.9955,137.0755,139.7755,274244000,139.7755
2015-01-15,139.1638,141.1638,138.7738,139.8038,77315000,139.8038
2015-01-16,139.9522,145.5622,139.9522,143.3122,88171000,143.3122
2015-01-19,140.9973,141.0073,138.9573,139.4173,73077000,139.4173
2015-01-20,139.9556,142.2256,139.0256,141.7456,43861000,141.7456
2015-01-21,141.854,147.664,141.854,146.104,44594000,146.104
2015-01-22,146.1023,157.9523,146.1023,153.1423,47713000,153.1423
2015-01-23,155.1307,158.4507,154.4507,156.4507,23373000,156.4507
2015-01-26,157.7958,157.7958,152.9458,156.0058,21347000,156.0058
2015-01-27,156.0141,156.9341,150.9541,153.9441,17012000,153.9441
2015-01-28,152.9425,154.8825,148.9425,151.9625,16759000,151.9625
2015-01-29,152.9408,155.9408,149.4408,154.5708,38509000,154.5708
2015-01-30,152.8392,159.9392,152.8392,153.4492,38752000,153.4492
2015-02-02,150.0142,154.9342,149.5842,149.7342,24167000,149.7342
2015-02-03,150.8126,151.6626,147.0326,149.9726,28075000,149.9726
2015-02-04,152.231,160.931,152.231,159.021,67348000,159.021
2015-02-05,172.9193,176.1293,149.9293,150.4793,74376000,150.4793
2015-02-06,150.5277,154.1477,147.9277,149.0577,34718000,149.0577
2015-02-09,147.8027,149.2727,147.8027,149.1927,24522000,149.1927
2015-02-10,149.9311,156.8911,149.9311,153.4711,26667000,153.4711
2015-02-11,154.9095,158.9195,154.9095,156.8695,10504000,156.8695
2015-02-12,156.5178,158.4178,155.1278,158.0178,4661000,158.0178
2015-02-13,156.9362,166.5462,156.9162,165.4462,17003000,165.4462
2015-02-16,164.9612,167.9112,164.9112,166.6212,625000,166.6212
2015-02-17,166.6596,172.6996,166.6196,172.2896,22583000,172.2896
2015-02-25,172.4064,173.8664,165.9064,167.4164,13697000,167.4164
2015-02-26,163.9248,168.5948,163.9248,168.2648,10328000,168.2648
2015-02-27,168.2632,168.8632,166.3932,166.6432,2684000,166.6432
2015-03-02,168.3882,171.8882,165.0082,165.1982,10068000,165.1982
2015-03-03,164.1966,165.8566,159.9166,162.2366,10993000,162.2366
2015-03-04,162.4649,162.4649,158.8849,160.4449,21084000,160.4449
2015-03-05,160.8733,160.8733,159.0833,159.5533,6396000,159.5533
2015-03-06,160.1316,164.5416,157.8816,159.6116,12374000,159.6116
2015-03-09,160.1367,160.1367,157.7667,159.8767,4906000,159.8767
2015-03-10,160.3651,162.3651,158.9851,161.0551,1364000,161.0551
2015-03-11,161.5734,162.3734,159.9034,160.1334,3145000,160.1334
2015-03-12,160.6618,160.6618,158.5718,159.6518,7606000,159.6518
2015-03-13,160.1301,165.6601,159.8701,162.8701,8887000,162.8701
2015-03-16,162.8652,169.8452,162.8652,166.3852,13598000,166.3852
2015-03-17,166.3836,171.8636,166.3836,169.7436,21285000,169.7436
2015-03-18,169.6619,172.5619,167.6619,168.1619,1557000,168.1619
2015-03-19,169.1603,170.7403,163.2703,163.4703,6957000,163.4703
2015-03-20,163.4786,169.1586,163.4786,168.8586,16832000,168.8586
2015-03-23,167.8537,173.9037,167.8537,173.9037,32035000,173.9037
2015-03-24,175.8521,177.8521,171.4521,176.8521,32417000,176.8521
2015-03-25,178.8504,183.8504,176.8504,176.8504,40190000,176.8504
2015-03-26,176.8488,176.8488,171.8488,174.8488,6562000,174.8488
2015-03-27,175.3571,179.8471,173.0671,176.3571,12271000,176.3571
2015-03-30,174.3822,182.0522,172.0922,175.8622,31879000,175.8622
2015-03-31,177.8405,180.7705,169.6405,169.6405,5379000,169.6405
2015-04-01,172.3289,172.3289,168.8389,169.1489,5629000,169.1489
2015-04-02,170.8273,170.8273,168.8573,169.5373,7681000,169.5373
2015-04-03,169.8356,169.8356,166.8356,166.9656,10121000,166.9656
2015-04-07,168.519,168.519,164.429,165.199,32977000,165.199
2015-04-08,165.7974,166.0274,164.4474,165.2274,27065000,165.2274
2015-04-09,165.8158,165.8158,161.3258,161.9858,32709000,161.9858
2015-04-28,181.8445,195.7945,175.4945,181.3245,69004000,181.3245
2015-04-29,176.9029,180.7929,172.7929,176.3129,49461000,176.3129
2015-04-30,177.7912,185.1212,176.1212,183.7712,41042000,183.7712
2015-05-04,178.9747,182.6847,176.8947,177.4147,6073000,177.4147
2015-05-05,174.813,175.333,168.283,168.783,29425000,168.783
