"Date","Open","High","Low","Close","Volume","Adj Close"
1983-11-21,5.083333,5.177083,5.083333,5.135417,3910800,0.229108
1983-11-22,5.135417,5.135417,5.09375,5.09375,2934000,0.227249
1983-11-23,5.09375,5.104167,5.052083,5.072917,1618800,0.22632
1983-11-25,5.072917,5.104167,5.072917,5.083333,3380400,0.226785
1983-11-28,5.083333,5.09375,5.03125,5.03125,4315200,0.224461
1983-11-29,5.020833,5.020833,4.947917,4.947917,2295600,0.220743
1983-11-30,4.947917,4.96875,4.90625,4.916667,3908400,0.219349
1983-12-01,4.927083,4.979167,4.927083,4.96875,9553200,0.221673
1983-12-02,4.96875,4.96875,4.9375,4.947917,1928400,0.220743
1983-12-05,4.947917,4.958333,4.927083,4.927083,1501200,0.219814
1983-12-06,4.927083,4.9375,4.90625,4.90625,2966400,0.218884
1983-12-07,4.90625,4.927083,4.854167,4.885417,6301200,0.217955
1983-12-08,4.885417,4.90625,4.875,4.885417,6476400,0.217955
1983-12-09,4.885417,4.885417,4.84375,4.854167,6897600,0.216561
1983-12-12,4.854167,4.875,4.854167,4.864583,3379200,0.217026
1983-12-13,4.864583,4.927083,4.854167,4.90625,7300800,0.218884
1983-12-14,4.90625,4.979167,4.90625,4.916667,4986000,0.219349
1983-12-15,4.916667,4.927083,4.875,4.885417,3711600,0.217955
1983-12-16,4.885417,4.916667,4.854167,4.885417,3331200,0.217955
1983-12-19,4.885417,4.895833,4.875,4.885417,3752400,0.217955
1983-12-20,4.885417,4.90625,4.875,4.90625,2410800,0.218884
1983-12-21,4.90625,4.916667,4.875,4.916667,7482000,0.219349
1983-12-22,4.916667,4.927083,4.885417,4.885417,7561200,0.217955
1983-12-23,4.885417,4.895833,4.854167,4.895833,3861600,0.21842
1983-12-27,4.895833,4.895833,4.864583,4.885417,2546400,0.217955
1983-12-28,4.885417,4.9375,4.885417,4.9375,5358000,0.220279
1983-12-29,4.9375,4.9375,4.916667,4.927083,4488000,0.219814
1983-12-30,4.927083,4.958333,4.90625,4.90625,2923200,0.218884
1984-01-03,4.916667,5.09375,4.916667,5.083333,2491200,0.226785
1984-01-04,5.135417,5.375,5.135417,5.333333,6492000,0.237938
1984-01-05,5.333333,5.427083,5.291667,5.3125,4051200,0.237009
1984-01-06,5.3125,5.333333,5.177083,5.1875,4563600,0.231432
1984-01-09,5.1875,5.197917,5.135417,5.166667,3231600,0.230502
1984-01-10,5.166667,5.1875,5.135417,5.166667,3289200,0.230502
1984-01-11,5.177083,5.239583,5.177083,5.197917,4245600,0.231897
