Date,VALUE
1990-01-02,2810.15
1990-01-03,2809.73
1990-01-04,2796.08
1990-01-05,2773.25
1990-01-08,2794.37
1990-01-09,2766.00
1990-01-10,2750.64
1990-01-11,2760.67
1990-01-12,2689.21
1990-01-15,2669.37
1990-01-16,2692.62
1990-01-17,2659.13
1990-01-18,2666.38
1990-01-19,2677.90
1990-01-22,2600.45
1990-01-23,2615.32
1990-01-24,2604.50
1990-01-25,2561.04
1990-01-26,2559.23
1990-01-29,2553.38
1990-01-30,2543.24
1990-01-31,2590.54
1990-02-01,2586.26
1990-02-02,2602.70
1990-02-05,2622.52
1990-02-06,2606.31
1990-02-07,2640.09
1990-02-08,2644.37
1990-02-09,2648.20
1990-02-12,2619.14
1990-02-13,2624.10
1990-02-14,2624.32
1990-02-15,2649.55
1990-02-16,2635.59
1990-02-20,2596.85
1990-02-21,2583.56
1990-02-22,2574.77
1990-02-23,2564.19
1990-02-26,2602.48
1990-02-27,2617.12
1990-02-28,2627.25
1990-03-01,2635.59
1990-03-02,2660.36
1990-03-05,2649.55
1990-03-06,2676.80
1990-03-07,2669.59
1990-03-08,2696.17
1990-03-09,2683.33
1990-03-12,2686.71
1990-03-13,2674.55
1990-03-14,2687.84
1990-03-15,2695.72
1990-03-16,2741.22
1990-03-19,2755.63
1990-03-20,2738.74
1990-03-21,2727.93
1990-03-22,2695.72
1990-03-23,2704.28
1990-03-26,2707.66
1990-03-27,2736.94
1990-03-28,2743.69
1990-03-29,2727.70
1990-03-30,2707.21
1990-04-02,2700.45
1990-04-03,2736.71
1990-04-04,2719.37
1990-04-05,2721.17
1990-04-06,2717.12
1990-04-09,2722.07
1990-04-10,2731.08
1990-04-11,2729.73
1990-04-12,2751.80
1990-04-16,2763.06
1990-04-17,2765.77
1990-04-18,2732.88
1990-04-19,2711.94
1990-04-20,2695.95
1990-04-23,2666.67
1990-04-24,2654.50
1990-04-25,2666.44
1990-04-26,2676.58
1990-04-27,2645.05
1990-04-30,2656.76
1990-05-01,2668.92
1990-05-02,2689.64
1990-05-03,2696.17
1990-05-04,2710.36
1990-05-07,2721.62
1990-05-08,2733.56
1990-05-09,2732.88
1990-05-10,2738.51
1990-05-11,2801.58
1990-05-14,2821.53
1990-05-15,2822.45
1990-05-16,2819.68
1990-05-17,2831.71
1990-05-18,2819.91
1990-05-21,2844.68
1990-05-22,2852.23
1990-05-23,2856.26
1990-05-24,2855.55
1990-05-25,2820.92
1990-05-29,2870.49
1990-05-30,2878.56
1990-05-31,2876.66
1990-06-01,2900.97
1990-06-04,2935.19
1990-06-05,2925.00
1990-06-06,2911.65
1990-06-07,2897.33
1990-06-08,2862.38
1990-06-11,2892.57
1990-06-12,2933.42
1990-06-13,2929.70
1990-06-14,2928.22
1990-06-15,2935.89
1990-06-18,2882.18
1990-06-19,2893.56
1990-06-20,2895.30
1990-06-21,2901.73
1990-06-22,2857.18
1990-06-25,2845.05
1990-06-26,2842.33
1990-06-27,2862.13
1990-06-28,2878.71
1990-06-29,2880.69
1990-07-02,2899.26
1990-07-03,2911.63
1990-07-05,2879.21
1990-07-06,2904.95
1990-07-09,2914.11
1990-07-10,2890.84
1990-07-11,2932.67
1990-07-12,2969.80
1990-07-13,2980.20
1990-07-16,2999.75
1990-07-17,2999.75
1990-07-18,2981.68
1990-07-19,2993.81
1990-07-20,2961.14
1990-07-23,2904.70
1990-07-24,2922.52
1990-07-25,2930.94
1990-07-26,2920.79
1990-07-27,2898.51
1990-07-30,2917.33
1990-07-31,2905.20
1990-08-01,2899.26
1990-08-02,2864.60
1990-08-03,2809.65
1990-08-06,2716.34
1990-08-07,2710.64
1990-08-08,2734.90
1990-08-09,2758.91
1990-08-10,2716.58
1990-08-13,2746.78
1990-08-14,2747.77
1990-08-15,2748.27
1990-08-16,2681.44
1990-08-17,2644.80
1990-08-20,2656.44
1990-08-21,2603.96
1990-08-22,2560.15
1990-08-23,2483.42
1990-08-24,2532.92
1990-08-27,2611.63
1990-08-28,2614.85
1990-08-29,2632.43
1990-08-30,2593.32
1990-08-31,2614.36
1990-09-04,2613.37
1990-09-05,2628.22
1990-09-06,2596.29
1990-09-07,2619.55
1990-09-10,2615.59
1990-09-11,2612.62
1990-09-12,2625.74
1990-09-13,2582.67
1990-09-14,2564.11
1990-09-17,2567.33
1990-09-18,2571.29
1990-09-19,2557.43
1990-09-20,2518.32
1990-09-21,2512.38
1990-09-24,2452.97
1990-09-25,2485.64
1990-09-26,2459.65
1990-09-27,2427.48
1990-09-28,2452.48
1990-10-01,2515.84
1990-10-02,2505.20
1990-10-03,2489.36
1990-10-04,2516.83
1990-10-05,2510.64
1990-10-08,2523.76
1990-10-09,2445.54
1990-10-10,2407.92
1990-10-11,2365.10
1990-10-12,2398.02
1990-10-15,2416.34
1990-10-16,2381.19
1990-10-17,2387.87
1990-10-18,2452.72
1990-10-19,2520.79
1990-10-22,2516.09
1990-10-23,2494.06
1990-10-24,2504.21
1990-10-25,2484.16
1990-10-26,2436.14
1990-10-29,2430.20
1990-10-30,2448.02
1990-10-31,2442.33
1990-11-01,2454.95
1990-11-02,2490.84
1990-11-05,2502.23
1990-11-06,2485.15
1990-11-07,2440.84
1990-11-08,2443.81
1990-11-09,2488.61
1990-11-12,2540.35
1990-11-13,2535.40
1990-11-14,2559.65
1990-11-15,2545.05
1990-11-16,2550.25
1990-11-19,2565.35
1990-11-20,2530.20
1990-11-21,2539.36
1990-11-23,2527.23
1990-11-26,2533.17
1990-11-27,2543.81
1990-11-28,2535.15
1990-11-29,2518.81
1990-11-30,2559.65
1990-12-03,2565.59
1990-12-04,2579.70
1990-12-05,2610.40
1990-12-06,2602.48
1990-12-07,2590.10
1990-12-10,2596.78
1990-12-11,2586.14
1990-12-12,2622.28
1990-12-13,2614.36
1990-12-14,2593.81
1990-12-17,2593.32
1990-12-18,2626.73
1990-12-19,2626.73
1990-12-20,2629.46
1990-12-21,2633.66
1990-12-24,2621.29
1990-12-26,2637.13
1990-12-27,2625.50
1990-12-28,2629.21
1990-12-31,2633.66
1991-01-02,2610.64
1991-01-03,2573.51
1991-01-04,2566.09
1991-01-07,2522.77
1991-01-08,2509.41
1991-01-09,2470.30
1991-01-10,2498.76
1991-01-11,2501.49
1991-01-14,2483.91
1991-01-15,2490.59
1991-01-16,2508.91
1991-01-17,2623.51
1991-01-18,2646.78
1991-01-21,2629.21
1991-01-22,2603.22
1991-01-23,2619.06
1991-01-24,2643.07
1991-01-25,2659.41
1991-01-28,2654.46
1991-01-29,2662.62
1991-01-30,2713.12
1991-01-31,2736.39
1991-02-01,2730.69
1991-02-04,2772.28
1991-02-05,2788.37
1991-02-06,2830.94
1991-02-07,2810.64
1991-02-08,2830.69
1991-02-11,2902.23
1991-02-12,2874.75
1991-02-13,2909.16
1991-02-14,2877.23
1991-02-15,2934.65
1991-02-19,2932.18
1991-02-20,2899.01
1991-02-21,2891.83
1991-02-22,2889.36
1991-02-25,2887.87
1991-02-26,2864.60
1991-02-27,2889.11
1991-02-28,2882.18
1991-03-01,2909.90
1991-03-04,2914.11
1991-03-05,2972.52
1991-03-06,2973.27
1991-03-07,2963.37
1991-03-08,2955.20
1991-03-11,2939.36
1991-03-12,2922.52
1991-03-13,2955.20
1991-03-14,2952.23
1991-03-15,2948.27
1991-03-18,2929.95
1991-03-19,2867.82
1991-03-20,2872.03
1991-03-21,2855.45
1991-03-22,2858.91
1991-03-25,2865.84
1991-03-26,2914.85
1991-03-27,2917.57
1991-03-28,2913.86
1991-04-01,2881.19
1991-04-02,2945.05
1991-04-03,2926.73
1991-04-04,2924.50
1991-04-05,2896.78
1991-04-08,2918.56
1991-04-09,2873.02
1991-04-10,2874.50
1991-04-11,2905.45
1991-04-12,2920.79
1991-04-15,2933.17
1991-04-16,2986.88
1991-04-17,3004.46
1991-04-18,2999.26
1991-04-19,2965.59
1991-04-22,2927.72
1991-04-23,2930.45
1991-04-24,2949.50
1991-04-25,2921.04
1991-04-26,2912.38
1991-04-29,2876.98
1991-04-30,2887.87
1991-05-01,2930.20
1991-05-02,2938.61
1991-05-03,2938.86
1991-05-06,2941.64
1991-05-07,2917.49
1991-05-08,2930.90
1991-05-09,2971.15
1991-05-10,2920.17
1991-05-13,2924.42
1991-05-14,2886.85
1991-05-15,2865.38
1991-05-16,2894.01
1991-05-17,2886.63
1991-05-20,2892.22
1991-05-21,2906.08
1991-05-22,2910.33
1991-05-23,2900.04
1991-05-24,2913.91
1991-05-28,2958.86
1991-05-29,2969.59
1991-05-30,3000.45
1991-05-31,3027.50
1991-06-03,3035.33
1991-06-04,3027.95
1991-06-05,3005.37
1991-06-06,2994.86
1991-06-07,2976.74
1991-06-10,2975.40
1991-06-11,2985.91
1991-06-12,2961.99
1991-06-13,2965.12
1991-06-14,3000.45
1991-06-17,2993.96
1991-06-18,2986.81
1991-06-19,2955.50
1991-06-20,2953.94
1991-06-21,2965.56
1991-06-24,2913.01
1991-06-25,2910.11
1991-06-26,2913.01
1991-06-27,2934.93
1991-06-28,2906.75
1991-07-01,2958.41
1991-07-02,2972.72
1991-07-03,2934.70
1991-07-05,2932.47
1991-07-08,2961.99
1991-07-09,2947.23
1991-07-10,2944.77
1991-07-11,2959.75
1991-07-12,2980.77
1991-07-15,2990.61
1991-07-16,2983.90
1991-07-17,2978.76
1991-07-18,3016.32
1991-07-19,3016.32
1991-07-22,3012.97
