trade_date,symbol,OPEN,HIGH,LOW,CLOSE
2021-12-22,000016.SH,3280.6942,3287.7557,3257.0121,3260.5711
2021-12-22,000300.SH,4924.5771,4936.6731,4903.1652,4914.4544
2021-12-22,000688.SH,1378.3107,1386.2428,1373.5253,1375.0299
2021-12-22,000852.SH,7868.2991,7943.242,7854.3573,7930.8115
2021-12-22,000903.SH,4800.1434,4813.7632,4772.9667,4785.5996
2021-12-22,000905.SH,7289.9065,7318.605,7271.8182,7302.463
2021-12-22,000906.SH,5316.1167,5326.5154,5299.2144,5309.9944
2021-12-22,399001.SZ,14723.4088,14813.0421,14709.402,14791.332
2021-12-22,399005.SZ,9704.9118,9812.725,9704.9118,9789.4896
2021-12-22,399006.SZ,3360.2834,3379.0795,3354.3818,3368.6989
2021-12-22,399330.SZ,6829.5119,6861.4839,6819.0804,6850.0721
2021-12-23,000009.SH,6687.0979,6715.4116,6661.688,6712.1106
2021-12-23,000010.SH,10095.9171,10159.5044,10060.1687,10159.5044
2021-12-23,000016.SH,3265.7065,3287.1877,3246.2353,3287.1877
2021-12-23,000300.SH,4924.2912,4948.7389,4906.7473,4948.7389
2021-12-23,000688.SH,1375.8297,1380.147,1366.9899,1375.9682
2021-12-23,000852.SH,7932.1024,7947.125,7892.8864,7932.6616
2021-12-23,000903.SH,4796.2471,4825.8408,4772.3191,4825.8408
2021-12-23,000905.SH,7306.1587,7349.9951,7290.3792,7337.19
2021-12-23,000906.SH,5318.7164,5345.2938,5306.745,5344.2072
2021-12-23,399001.SZ,14818.9922,14878.9547,14790.4543,14863.9277
2021-12-23,399005.SZ,9817.7326,9888.7802,9802.2474,9852.6883
2021-12-23,399006.SZ,3379.8082,3389.8544,3358.9155,3373.7033
2021-12-23,399330.SZ,6866.3373,6902.1689,6845.1901,6893.7914
2021-12-24,000009.SH,6708.9812,6710.507,6632.6255,6646.6075
2021-12-24,000010.SH,10171.8487,10200.1258,10094.2887,10127.2166
2021-12-24,000016.SH,3293.3011,3306.9093,3278.2016,3290.2357
2021-12-24,000300.SH,4953.0616,4964.9064,4905.9785,4921.3449
2021-12-24,000688.SH,1375.1782,1378.2987,1353.6535,1358.7302
2021-12-24,000852.SH,7940.3784,7940.4346,7771.4179,7776.6064
2021-12-24,000903.SH,4829.9128,4843.8366,4787.3465,4805.8489
2021-12-24,000905.SH,7335.9996,7339.9405,7257.5267,7278.7556
2021-12-24,000906.SH,5347.5481,5357.8197,5295.3405,5311.512
2021-12-24,399001.SZ,14872.4161,14887.4557,14674.1406,14710.3282
2021-12-24,399005.SZ,9853.9221,9857.454,9749.4805,9810.9901
2021-12-24,399006.SZ,3381.5449,3384.2932,3280.9373,3297.106
2021-12-24,399330.SZ,6893.7116,6911.1703,6807.1008,6829.4732
2021-12-27,000009.SH,6639.0857,6686.2869,6629.8803,6650.9017
2021-12-27,000010.SH,10116.7587,10153.3752,10053.3579,10100.6985
2021-12-27,000016.SH,3286.111,3291.9785,3264.0233,3278.4365
2021-12-27,000300.SH,4918.1462,4939.689,4894.1598,4919.3238
2021-12-27,000688.SH,1356.4098,1369.2119,1349.1108,1355.6358
2021-12-27,000852.SH,7768.3826,7833.5814,7739.291,7776.4312
2021-12-27,000903.SH,4801.1259,4819.2253,4775.4084,4798.7583
2021-12-27,000905.SH,7269.37,7323.876,7255.7163,7272.7493
2021-12-27,000906.SH,5307.2466,5334.2904,5285.3626,5308.8037
2021-12-27,399001.SZ,14704.2859,14802.3512,14652.4177,14715.6458
2021-12-27,399005.SZ,9813.6653,9871.8042,9769.4213,9805.3595
2021-12-27,399006.SZ,3296.4081,3315.7534,3273.8154,3293.8113
2021-12-27,399330.SZ,6828.113,6868.8718,6800.9139,6839.4461
2021-12-28,000009.SH,6660.7678,6674.2961,6625.8291,6674.2961
2021-12-28,000010.SH,10109.8616,10175.5969,10093.2436,10169.243
2021-12-28,000016.SH,3282.5996,3307.7885,3280.2656,3303.4002
2021-12-28,000300.SH,4923.6917,4959.1448,4913.5983,4955.9644
2021-12-28,000688.SH,1355.6539,1370.3113,1355.6539,1369.6193
2021-12-28,000852.SH,7794.0256,7863.5299,7783.0984,7863.5299
2021-12-28,000903.SH,4802.7338,4839.6518,4798.0951,4834.706
2021-12-28,000905.SH,7281.0041,7290.5389,7240.9278,7286.0336
2021-12-28,000906.SH,5313.8313,5343.3915,5300.6195,5341.2038
2021-12-28,399001.SZ,14736.7327,14841.879,14696.4509,14837.8687
2021-12-28,399005.SZ,9819.9601,9910.0673,9798.2007,9902.6884
2021-12-28,399006.SZ,3300.3111,3331.3164,3280.0668,3328.5592
2021-12-28,399330.SZ,6846.3538,6909.8195,6826.3605,6904.8522
2021-12-29,000009.SH,6666.9259,6682.2693,6641.939,6650.2379
2021-12-29,000010.SH,10178.1706,10178.1706,10027.4183,10027.4183
2021-12-29,000016.SH,3308.2134,3308.2313,3240.8452,3240.8452
2021-12-29,000300.SH,4958.6455,4958.6455,4883.4804,4883.4804
2021-12-29,000688.SH,1370.4936,1370.4936,1351.9984,1356.2141
2021-12-29,000852.SH,7858.9432,7886.7136,7838.2804,7855.4293
2021-12-29,000903.SH,4839.8299,4839.8299,4747.9208,4747.9208
2021-12-29,000905.SH,7275.6736,7290.8597,7242.3024,7247.7741
2021-12-29,000906.SH,5341.595,5341.595,5275.0169,5275.0169
2021-12-29,399001.SZ,14828.1935,14828.1935,14645.1984,14653.8236
2021-12-29,399005.SZ,9908.4773,9908.4773,9817.0965,9819.8028
2021-12-29,399006.SZ,3326.076,3326.2121,3281.8971,3281.8971
2021-12-29,399330.SZ,6904.2698,6904.2698,6787.9441,6793.2938
2021-12-30,000009.SH,6652.1442,6708.0651,6648.1884,6699.5661
2021-12-30,000010.SH,10025.9911,10130.8917,10016.0548,10087.1292
2021-12-30,000016.SH,3240.2631,3276.9987,3236.1588,3261.7937
