名称,代码,行业名称
ST东北高,SH600003,铁路公路
包头铝业,SH600472,能源金属
吉化退市,SZ000618,化学制品
*ST世茂,SH600823,房地产开发
中原退市,SZ000956,房地产开发
大明退市,SZ000406,光学光电子
扬子退市,SZ000866,化学制品
辽油退市,SZ000817,采掘行业
锦化退市,SZ000763,化学制品
齐鲁石化,SH600002,石油行业
*ST宜生,SH600978,家用轻工
ST亿利,SH600277,化学制品
上电股份,SH600627,电源设备
华北高速,SZ000916,铁路公路
烯碳退,SZ000511,化学制品
经纬纺机,SZ000666,专用设备
营口港,SH600317,港口航运
*ST二重,SH601268,机械设备
S兰铝,SH600296,工业金属
S山东铝,SH600205,工业金属
凯迪退,SZ000939,电力行业
退市明科,SH600091,化学制品
退市游久,SH600652,游戏
退市锐电,SH601558,电力设备
银河退,SZ000806,化学制药
东方锅炉,SH600786,电力设备
乐视退,SZ300104,互联网服务
*ST中天,SZ000540,采掘行业
ST美置,SZ000667,房地产服务
必康退,SZ002411,化学制药
退市保千,SH600074,电子元件
*ST信威,SH600485,通信设备
*ST上航,SH600591,航空机场
ST阳光城,SZ000671,房地产开发
中国北车,SH601299,交运设备
广汇汽车,SH600297,汽车服务
承德钒钛,SH600357,钢铁行业
退市大控,SH600747,综合行业
邯郸钢铁,SH600001,钢铁行业
*ST庞大,SH601258,汽车服务
ST平能,SZ000780,电力行业
外运发展,SH600270,物流行业
康得退,SZ002450,光学光电子
ST旭电,SZ000413,电力设备
莱钢股份,SH600102,钢铁行业
百联股份,SH600631,商业百货
退市吉恩,SH600432,能源金属
退市长油,SH600087,港口航运
*ST泛海,SZ000046,房地产开发
ST阳光,SH600220,房地产服务
ST中南,SZ000961,建筑材料
美的电器,SZ000527,家用电器
宏源证券,SZ000562,非银金融
东方明珠,SH600832,传媒
招商地产,SZ000024,房地产开发
武钢股份,SH600005,钢铁行业
葛洲坝,SH600068,建筑装饰
