,p03563_f001,p03563_f002,p03563_f003,p03563_f004,date
0,2005-06-30,600019.SH,宝钢股份,4.11000000,20050630
1,2005-06-30,600050.SH,中国联通,3.49000000,20050630
2,2005-06-30,600900.SH,长江电力,3.03000000,20050630
3,2005-06-30,600036.SH,招商银行,2.94000000,20050630
4,2005-06-30,600009.SH,上海机场,2.05000000,20050630
5,2005-06-30,600016.SH,民生银行,1.85000000,20050630
6,2005-06-30,600028.SH,中国石化,1.55000000,20050630
7,2005-06-30,000001.SZ,平安银行,1.45000000,20050630
8,2005-06-30,600000.SH,浦发银行,1.41000000,20050630
9,2005-06-30,000002.SZ,万科A,1.41000000,20050630
10,2005-06-30,600018.SH,上港集团,1.38000000,20050630
11,2005-06-30,600005.SH,武钢股份,1.26000000,20050630
12,2005-06-30,000063.SZ,中兴通讯,1.16000000,20050630
13,2005-06-30,600519.SH,贵州茅台,0.99000000,20050630
14,2005-06-30,600642.SH,申能股份,0.98000000,20050630
15,2005-06-30,000039.SZ,中集集团,0.97000000,20050630
16,2005-06-30,000858.SZ,五粮液,0.96000000,20050630
17,2005-06-30,600015.SH,华夏银行,0.74000000,20050630
18,2005-06-30,600795.SH,国电电力,0.70000000,20050630
19,2005-06-30,000866.SZ,扬子退市,0.69000000,20050630
20,2005-06-30,600839.SH,四川长虹,0.67000000,20050630
21,2005-06-30,600104.SH,上汽集团,0.66000000,20050630
22,2005-06-30,600717.SH,天津港,0.65000000,20050630
23,2005-06-30,000027.SZ,深圳能源,0.64000000,20050630
24,2005-06-30,600832.SH,东方明珠,0.63000000,20050630
25,2005-06-30,000069.SZ,华侨城A,0.62000000,20050630
26,2005-06-30,600309.SH,万华化学,0.61000000,20050630
27,2005-06-30,600029.SH,南方航空,0.60000000,20050630
28,2005-06-30,600269.SH,赣粤高速,0.59000000,20050630
29,2005-06-30,600583.SH,海油工程,0.58000000,20050630
30,2005-06-30,600887.SH,伊利股份,0.57000000,20050630
31,2005-06-30,000088.SZ,盐田港,0.57000000,20050630
32,2005-06-30,000503.SZ,国新健康,0.57000000,20050630
33,2005-06-30,600098.SH,广州发展,0.54000000,20050630
34,2005-06-30,600688.SH,上海石化,0.54000000,20050630
35,2005-06-30,000402.SZ,金融街,0.53000000,20050630
36,2005-06-30,000629.SZ,钒钛股份,0.53000000,20050630
37,2005-06-30,600690.SH,海尔智家,0.53000000,20050630
38,2005-06-30,600601.SH,方正科技,0.52000000,20050630
39,2005-06-30,000983.SZ,山西焦煤,0.52000000,20050630
40,2005-06-30,600085.SH,同仁堂,0.51000000,20050630
41,2005-06-30,000895.SZ,双汇发展,0.49000000,20050630
42,2005-06-30,000792.SZ,盐湖股份,0.48000000,20050630
43,2005-06-30,600004.SH,白云机场,0.48000000,20050630
44,2005-06-30,600011.SH,华能国际,0.48000000,20050630
45,2005-06-30,600320.SH,振华重工,0.48000000,20050630
46,2005-06-30,000898.SZ,鞍钢股份,0.48000000,20050630
47,2005-06-30,600177.SH,雅戈尔,0.47000000,20050630
48,2005-06-30,600350.SH,山东高速,0.47000000,20050630
49,2005-06-30,600030.SH,中信证券,0.46000000,20050630
