,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
0,001217.SZ,20210908,20210908,20200331,1,1,1,248900000.0,170730505.9,160022914.2,38145472.13,19620029.44,14020080.91,,,33160847.25,707682.46,26020875.42,,,59010052.09,,,,,,,,,147152.37,265432994.54,,,,,,,,503080554.5,24973300.85,821592.91,,,,50778254.36,,,47130074.39,12909907.1,,1524906.0,641218590.11,,,,,,,,,,,,,,,,,906651584.65,,40052055.57,,,,,9090000.0,102610180.62,,,,14180276.56,15538944.78,,14520000.0,3002210.4,,,,,,,,,2331226.63,219257407.09,,,,,3976069.48,45999186.41,,49975255.89,,,,,,,,,,,,,,,,,269232662.98,,,,,,637418921.67,637418921.67,906651584.65,,,,,,,,,,,,,,17932512.53,33160847.25,111700180.62,707682.46,503080554.5,25794893.76,17522210.4,,,,0
1,301046.SZ,20210105,20210105,20200331,1,1,1,112110000.0,96268775.16,134674967.31,14789432.83,,131094552.53,99511788.55,2327779.45,90944484.21,,7140110.39,,,49917928.94,,,,,,,,,20291277.5,495161501.33,,,,,,,,182174409.31,,,,,,307385.18,,,,6252896.87,,,188734691.36,,,,,,,,,,,,,,,,,683896192.69,,,,,,,85682245.3,131886939.29,,,,4931201.62,552012.04,,,,,,,,,,,,2943002.4,247878775.6,,,,,181200.4,77993041.89,,78174242.29,,,,,,,,,,,,,,,,,326053017.89,,,,,-0.5,357843175.3,357843174.8,683896192.69,,,,,,,,,,,,,88907858.09,20345580.0,93272263.66,217569184.59,4270740.24,182174409.31,,1537794.95,,,,1
2,301004.SZ,20210607,20210607,20200331,1,1,1,75000000.0,82688721.55,160975653.87,17222777.3,,133826501.28,,,37879907.35,,2845484.21,,,60462300.63,,,,,,,,,10283780.34,249078002.09,,,1069200.87,,,,,94297325.28,375903.54,,,,,55200913.72,,,3847366.35,822062.13,,1468298.0,157081069.89,,,,,,,,,,,,,,,,,406159071.98,,,,,,927737.55,,40233352.08,,,,12699331.27,7499722.19,,,1202852.88,,,,,,,,,,65583926.26,,,,,,3085989.03,,3085989.03,,,,,,,,,,,,,,,,,68669915.29,,,,,1297626.87,336191529.82,337489156.69,406159071.98,,304377.1,,,,,,,,,,,,3020930.29,37879907.35,40233352.08,3780028.28,94297325.28,375903.54,1202852.88,,,,1
3,301002.SZ,20210517,20210517,20200331,1,1,1,70890000.0,93319707.17,91380719.88,15918528.55,,73384611.48,,,144552509.19,,5547588.8,,,80240077.03,,,,,,,,,40039082.48,350371854.15,,,,,,,,,,,,,,1092365.63,,,,1494577.26,,2456324.43,47124340.74,,,,,,,,,,,,,,,,,397496194.89,,,,,,,,101183737.94,,,,8606168.26,8089384.82,,,,,,,,,,,,248223.67,124445205.7,,,,1542033.59,,,,1542033.59,,,,,,,,,,,,,,,,,125987239.29,,,,,,271508955.6,271508955.6,397496194.89,,,,,,,,,,,,,,6317691.01,144552509.19,101183737.94,3423589.18,42081073.42,,,,,,0
4,301092.SZ,20200824,20200824,20200331,1,1,1,100000000.0,13172717.31,126355517.45,22065589.62,1139806.88,31945031.91,,121351.66,66928656.6,3547075.63,2831711.83,,,100317436.71,,,,,,,,,1767185.17,220623897.38,,,,37869874.85,,,,123755817.41,3193861.27,,,,,9931689.19,,,1245802.86,3273361.92,,181500.43,180651907.93,,,,,,,,,,,,,,,,,401275805.31,,49416296.14,,,,,3540018.0,38934666.53,2336772.24,,,7204594.32,7898857.45,,,23498449.78,,,,,,,,,,138337605.84,,,,,27387.44,177180.77,,204568.21,,,,,,,,,,,,,,,,,138542174.05,,,,,,262733631.26,262733631.26,401275805.31,,,,,,,,,,,,,,5507951.38,67050008.26,42474684.53,3547075.63,123755817.41,3193861.27,23498449.78,,,,1
5,688739.SH,20200425,20200718,20200331,1,1,1,374800000.0,734444685.8,2384648206.35,187400000.0,,453451668.09,1016735200.42,,664663417.2,,37402291.8,,,244576244.79,,,,,,,,,303773633.56,2721707177.84,,,,,,,,419472523.06,446978380.38,,,,,125270724.06,,,4245425.13,15763256.33,,137652286.16,1286144854.24,,,,,,,,,,,,,,,,,4007852032.08,,,,,,,,81940945.3,,,,52880098.7,42143276.84,,,,,,,,,,,,,190890289.22,,,,,8225416.48,127438350.23,5084.0,135668850.71,,,,,,,,,,,,,,,,,326559139.93,,,,,,3681292892.15,3681292892.15,4007852032.08,,,,,,,,,,,,,,13524509.7,664663417.2,81940945.3,1104721.98,419472523.06,446978380.38,401458.68,,,,1
6,830799.BJ,20200501,20200501,20200331,1,1,1,65695500.0,7448439.38,62315838.11,17149757.53,,121169241.27,,,78587144.45,,579544.03,,,15657599.01,,,,,,,,,,217932225.26,,,,,,,,687685.65,50081118.05,,,,,90182.66,,,,2580831.12,,,53439817.48,,,,,,,,,,,,,,,,,271372042.74,21580780.33,70200257.09,,,,,,3428958.44,2051646.97,,,15722336.04,2853686.22,,,,,,,,,,,,,96129417.9,,,,,,,,21580780.33,,,,,,,,,,,,,,,,,117710198.23,,,,,1052309.49,152609535.02,153661844.51,271372042.74,,,,,,,,,,,,,,,78587144.45,3428958.44,1938696.5,687685.65,50081118.05,1872533.14,,,,1
7,834765.BJ,20200804,20200804,20200331,1,1,1,55700000.0,55598704.16,62068203.98,11390441.21,,123916493.59,3003336.67,232994.1,56025119.43,5204375.85,1541854.99,,,41233331.46,,,,,,,,,3382951.99,239148678.67,,,,,,,,45109726.8,,,478650.97,,,6046180.51,,,4294899.57,3853619.67,,1600780.55,61383858.07,,,,,,,,,,,,,,,,,300532536.74,22100000.0,7309702.92,,,,2176329.45,22977989.0,47826409.71,,,,7225384.04,1370399.74,,,1067343.65,,,,,,,,1909504.19,,92447679.0,,,,,,2383299.92,,24483299.92,,,,,,,,,,,,,,,,,116930978.92,,,,,,183601557.82,183601557.82,300532536.74,,-1155791.53,,,,,,,,,,,,584616.3,56258113.53,70804398.71,5204375.85,45588377.77,,1067343.65,,,,1
8,831445.BJ,20200428,20200428,20200331,1,1,1,94490800.0,5284683.58,85653808.85,19326691.06,,23739970.78,,,15568229.24,,1563106.53,,,36095693.57,,,,,,,,,4915398.25,84172782.8,,,,,,,,114364021.24,6534343.02,,,,,27932217.7,,,556933.63,4473118.91,,5656340.06,159516974.56,,,,,,,,,,,,,,,,,243689757.36,,,,,,,,26441579.91,868700.28,,,2897844.82,3520035.36,,,,,,,,,,,,,34586464.82,,,,298708.05,9726.51,10449699.13,,10758133.69,,,,,,,,,,,,,,,,,45344598.51,6410824.64,,,,0.0,198345158.85,198345158.85,243689757.36,,,,,,,,,,,,,,,15568229.24,26441579.91,2290384.43,114364021.24,6534343.02,858304.45,,,,0
9,832566.BJ,20200430,20200430,20200331,1,1,1,56758800.0,142792842.37,132269570.95,22682361.84,,24121926.48,90000000.0,20460214.74,98041882.51,,6734868.06,,,52801421.92,,,,,,,,,,293897794.07,,,500000.0,,,,,120967249.67,580784.43,,,1090790.68,,60498386.83,11922895.57,11301552.19,19911.5,5764162.18,,263200.0,212908933.05,,,,,,,,,,,,,,,,,506806727.12,,10039352.78,,,,,629000.0,16940670.6,1696622.85,,,1355671.79,12199384.82,,,,,,,,,,,,,79098436.53,,,,,8776769.65,60293443.15,,69070212.8,,,,,,,,,,,,,,,,,148168649.33,,,,,4134502.63,354503575.16,358638077.79,506806727.12,,,,,,,,,,,,,,,118502097.25,17569670.6,1737480.36,120967249.67,580784.43,36237733.69,,,,0
