,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
0,688772.SH,20211014,20211014,20200930,1,1,3,,,4057822194.83,241825027.37,,,,,,,,,,,,83954995.29,4383602217.49,2136643334.24,903029026.21,74570124.49,,,,,,114863054.17,3229105539.11,1154496678.38,9046842.0,,,3320516.18,,12367358.18,1073969898.05,2100000.0,,7257882.4,,1083327780.45,-1070960422.27,1458723506.42,,1100442.97,1867012330.94,80705486.7731,977608253.51,31663344.79,,146875923.13,1156147521.43,710864809.51,-10009501.1,784391564.52,119930029.81,904321594.33,407188381.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,688272.SH,20211015,20211015,20200930,1,1,3,,,218560101.17,6883747.92,,,,,,,,,,,,540320.23,225984169.32,133870598.19,35137471.77,14162765.7,,,,,,12711206.5,195882042.16,30102127.16,101913.73,,,,,101913.73,4317647.29,300000.0,,,,4617647.29,-4515733.56,24000000.0,,,80717127.04,-5729865.936,12000000.0,2145797.77,,16574354.25,30720152.02,49996975.02,,75583368.62,21384496.33,96967864.95,56717127.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,605507.SH,20211019,20211019,20200930,1,1,3,,,1560425471.18,121054602.38,,,,,,,,,,,,40702259.55,1722182333.11,436898416.82,263229532.38,159330243.49,,,,,,184283355.89,1043741548.58,678440784.53,,506849814.39,,1098435.94,,507948250.33,376762328.73,390000000.0,,1438295.52,,768200624.25,-260252373.92,412152518.9,,2500000.0,414652518.9,,322178597.6,195518153.63,16984390.39,151038134.82,668734886.05,-254082367.15,1811050.12,165917093.58,783097043.01,949014136.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,688670.SH,20211019,20211019,20200930,1,1,3,,,136967477.79,,,,,,,,,,,,,31765935.94,168733413.73,53642659.42,20480946.02,7952549.3,,,,,,52721377.14,134797531.88,33935881.85,,,241381.43,15000.0,,256381.43,16522098.16,,,26870000.0,,43392098.16,-43135716.73,283350000.0,,,283350000.0,,94500000.0,5361252.65,,166850000.0,266711252.65,16638747.35,,7438912.47,7551947.44,14990859.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,688383.SH,20211019,20211019,20200930,1,1,3,,,450700174.32,20883478.93,,,,,,,,,,,,19099070.68,490682723.93,270906933.46,80804489.63,37211166.78,,,,,,39459678.5,428382268.37,62300455.56,,2000000.0,31068.49,31842.7,,2062911.19,43554733.74,,,,,43554733.74,-41491822.55,63644286.44,,,63644286.44,,65605500.0,5014483.01,,,70619983.01,-6975696.57,,13832936.44,9834427.52,23667363.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,301081.SZ,20211019,20211019,20200930,1,1,3,,,297922382.37,6967972.95,,,,,,,,,,,,21969394.23,326859749.55,167877440.39,56969402.89,13151991.18,,,,,,59180903.38,297179737.84,29680011.71,10545046.3,,,4368.36,,10549414.66,54798267.81,,,,,54798267.81,-44248853.15,220600000.0,,,220600000.0,143483704.7068,177300000.0,17831642.67,,2191490.2,197323132.87,23276867.13,-978186.95,7729838.74,22769580.79,30499419.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,688148.SH,20211019,20211019,20200930,1,1,3,,,650579990.31,60325499.01,,,,,,,,,,,,79780802.58,790686291.9,484986661.24,47704257.53,17882907.03,,,,,,110919587.03,661493412.83,129192879.07,,20000000.0,58602.74,451543.76,,20510146.5,96226561.46,1289600.0,,,,97516161.46,-77006014.96,392444243.76,,,392444243.76,,360400264.57,35136896.53,,39441437.7,434978598.8,-42534355.04,-3323776.2,6328732.87,123745266.38,130073999.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,688285.SH,20211019,20211019,20200930,1,1,3,,,743862186.27,59125.41,,,,,,,,,,,,93610653.47,837531965.15,655877972.2,92273556.11,47828638.2,,,,,,109853531.89,905833698.4,-68301733.25,,,,323462.0,,323462.0,33712657.53,,,,,33712657.53,-33389195.53,210000000.0,,,210000000.0,484266225.2952,100056836.78,136057955.78,,,236114792.56,-26114792.56,,-127805721.34,207611753.3,79806031.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,301083.SZ,20211020,20211020,20200930,1,1,3,,,380070396.39,1738929.57,,,,,,,,,,,,6251564.95,388060890.91,282410963.88,41483968.77,21703025.17,,,,,,28368881.18,373966839.0,14094051.91,,,1150896.9,200000.0,,1350896.9,3069743.41,55000000.0,,,,58069743.41,-56718846.51,,,,,166322198.8934,,,,2935040.0,2935040.0,-2935040.0,-377613.01,-45937447.61,105530273.12,59592825.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,301075.SZ,20211021,20211021,20200930,1,1,3,,,366303703.85,3903971.0,,,,,,,,,,,,24000630.21,394208305.06,37216711.08,26518158.08,46524776.29,,,,,,248827733.62,359087379.07,35120925.99,,,,,,,49659358.8,,,,,49659358.8,-49659358.8,40000000.0,,80000.0,41080000.0,,40000000.0,1705371.76,,,41705371.76,-625371.76,,-15163804.57,95589484.03,80425679.46,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
