,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600060.SH,20201214,10.62,10.76,10.55,10.72,10.68,0.04,0.3745,139598.38,148752.846
1,600061.SH,20201214,13.96,14.06,13.89,14.04,13.95,0.09,0.6452,138899.35,194374.612
2,600062.SH,20201214,12.05,12.05,11.89,11.98,12.04,-0.06,-0.4983,55974.07,66867.192
3,600063.SH,20201214,3.68,3.7,3.61,3.68,3.71,-0.03,-0.8086,226817.78,82914.485
4,600064.SH,20201214,10.25,10.54,10.21,10.52,10.26,0.26,2.5341,106471.35,111050.793
5,600066.SH,20201214,16.89,17.52,16.41,16.95,17.08,-0.13,-0.7611,279638.12,475083.622
6,600067.SH,20201214,3.7,3.75,3.69,3.74,3.69,0.05,1.355,43915.98,16373.957
7,600068.SH,20201214,6.7,6.75,6.6,6.6,6.72,-0.12,-1.7857,374715.28,249278.824
8,600070.SH,20201214,10.26,10.27,9.25,9.25,10.28,-1.03,-10.0195,177312.0,172759.34
9,600071.SH,20201214,10.31,10.64,10.28,10.49,10.3,0.19,1.8447,45182.34,47322.375
10,600072.SH,20201214,12.9,13.53,12.78,13.49,13.18,0.31,2.352,357592.51,472019.873
11,600073.SH,20201214,9.5,10.38,9.46,10.32,9.52,0.8,8.4034,368293.91,370694.698
12,600075.SH,20201214,6.87,6.95,6.18,6.23,6.87,-0.64,-9.3159,588000.46,377456.132
13,600076.SH,20201214,3.76,3.88,3.72,3.86,3.8,0.06,1.5789,194621.61,74012.347
14,600077.SH,20201214,3.68,3.78,3.32,3.38,3.69,-0.31,-8.4011,252290.39,85560.057
15,600078.SH,20201214,4.19,4.21,4.14,4.2,4.18,0.02,0.4785,20410.0,8534.195
16,600079.SH,20201214,31.95,31.98,30.99,31.85,31.94,-0.09,-0.2818,113332.4,355937.792
17,600080.SH,20201214,5.65,5.73,5.51,5.68,5.67,0.01,0.1764,14583.68,8247.836
18,600081.SH,20201214,11.87,12.69,11.7,12.48,11.75,0.73,6.2128,110475.46,136193.088
19,600082.SH,20201214,3.17,3.17,3.13,3.16,3.14,0.02,0.6369,17295.29,5451.373
20,600083.SH,20201214,6.4,6.55,6.15,6.5,6.39,0.11,1.7214,15116.0,9733.839
21,600084.SH,20201214,2.38,2.45,2.34,2.35,2.41,-0.06,-2.4896,100141.92,23814.564
22,600085.SH,20201214,25.09,25.25,24.77,24.95,24.9,0.05,0.2008,236388.04,589112.791
23,600086.SH,20201214,0.94,0.97,0.93,0.95,0.95,0.0,0.0,128030.3,12143.314
24,600088.SH,20201214,10.47,10.47,10.3,10.44,10.55,-0.11,-1.0427,15766.22,16394.688
25,600089.SH,20201214,8.03,8.08,7.84,7.93,8.04,-0.11,-1.3682,417923.93,331718.202
26,600090.SH,20201214,1.66,1.66,1.61,1.65,1.66,-0.01,-0.6024,110154.02,18030.308
27,600091.SH,20201214,2.12,2.15,2.12,2.15,2.16,-0.01,-0.463,6992.0,1496.206
28,600093.SH,20201214,8.15,8.23,8.08,8.23,8.18,0.05,0.6112,51201.22,41812.437
29,600094.SH,20201214,4.33,4.61,4.31,4.49,4.34,0.15,3.4562,191255.49,85466.94
30,600095.SH,20201214,14.64,14.8,14.34,14.7,14.78,-0.08,-0.5413,243911.51,355716.853
31,600096.SH,20201214,5.75,5.76,5.5,5.58,5.75,-0.17,-2.9565,156077.01,87709.584
32,600097.SH,20201214,11.07,11.64,11.07,11.36,11.44,-0.08,-0.6993,197670.02,223399.435
