,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20200828,15.13,1.2421,2.8024,2.83,10.4136,11.0922,1.0432,2.1283,1.9778,0.848,1.4408,1940591.8198,1940575.268,860111.1956,29361154.2336,29360903.8048
1,000002.SZ,20200828,27.57,0.9178,1.3777,1.69,8.2399,8.1011,1.7406,0.8706,0.8543,3.7907,3.6874,1161773.2201,971431.4935,647150.4144,32030087.6782,26782366.2758
2,000004.SZ,20200828,23.25,3.9717,5.5511,1.0,1238.1472,2451.546,2.7489,35.4512,156.3321,0.0,,16505.2625,8392.0684,6004.3836,383747.3531,195115.5903
3,000005.SZ,20200828,2.98,1.2094,1.5495,0.78,18.0575,18.3984,2.0561,5.7083,6.13,0.0,,105853.6842,105794.6242,82576.0487,315443.9789,315267.9801
4,000006.SZ,20200828,6.49,2.4522,3.8343,0.75,10.9359,10.748,1.3045,2.3481,2.2016,3.0046,2.7581,134999.5046,134830.7972,86230.9824,876146.7849,875051.8738
5,000007.SZ,20200828,9.1,1.6581,2.6178,0.93,141.4549,,17.5599,75.0265,74.5186,0.0,,34644.8044,30894.8044,19569.4167,315267.72,281142.72
6,000008.SZ,20200828,3.08,0.6291,1.035,0.91,19.7174,27.2393,1.1697,2.6598,2.826,0.3225,0.3172,278079.5346,266529.7419,162009.8594,856484.9666,820911.6051
7,000009.SZ,20200828,7.74,2.5869,3.0691,1.4,66.2926,66.9121,3.6235,1.6707,1.9897,0.2153,0.2584,257921.3965,255189.7988,215093.6436,1996311.6089,1975169.0427
8,000010.SZ,20200828,4.3,0.7711,0.8948,0.48,75.8556,78.2368,7.6997,1.8623,1.7863,0.0,,81985.4713,52217.1498,44997.6834,352537.5266,224533.7441
9,000011.SZ,20200828,20.59,2.9077,10.4783,0.69,15.005,13.2515,3.9006,3.0975,2.6519,1.457,1.7484,59597.9092,52647.5543,14609.6646,1227120.9504,1084013.143
10,000012.SZ,20200828,5.9,1.3916,1.456,1.09,33.7734,32.9069,1.9158,1.73,1.8103,0.7851,1.1864,307069.2107,195705.9361,187042.5914,1811708.3431,1154665.023
11,000014.SZ,20200828,11.25,1.8315,2.7757,0.64,107.6198,63.718,2.5306,5.1791,4.3825,0.5867,0.0978,20170.5187,20170.5187,13309.1796,226918.3354,226918.3354
12,000016.SZ,20200828,7.18,1.8392,2.7371,0.73,81.539,,2.2377,0.3137,0.371,1.3928,0.6964,240794.5408,159657.43,107282.7368,1728904.8029,1146340.3474
13,000017.SZ,20200828,2.61,1.7924,2.2677,1.49,,,145.1056,18.9288,17.8972,0.0,,55134.7947,30298.1008,23947.2261,143901.8142,79078.0431
14,000019.SZ,20200828,9.91,3.3315,5.1222,0.37,31.4211,30.7801,2.5952,1.0327,1.0366,1.0091,2.0182,115253.5254,41618.4832,27068.4852,1142162.4367,412439.1685
15,000020.SZ,20200828,12.27,0.853,2.4976,0.58,636.3291,574.7317,10.4463,4.8151,5.0864,0.0,,28316.1227,18116.5391,6187.5497,347438.8255,222289.9348
16,000021.SZ,20200828,26.48,3.3877,6.04,1.47,110.5842,118.1184,5.6692,2.9461,3.0188,0.3776,0.2266,147125.9363,146932.7064,82411.8906,3895894.7932,3890778.0655
17,000023.SZ,20200828,17.47,0.989,1.6548,0.89,47.6949,422.6977,5.2582,1.3242,1.5102,0.3434,0.0572,13875.624,13875.624,8293.2649,242407.1513,242407.1513
18,000025.SZ,20200828,22.54,3.0937,10.7811,0.5,44.2303,48.4628,7.5998,17.0137,19.8345,0.0,0.1863,43105.832,39277.832,11271.0813,971605.4533,885322.3333
19,000026.SZ,20200828,16.14,1.7868,3.2899,0.55,32.0054,40.6122,2.718,1.8655,1.9738,1.2445,1.2392,42814.4881,35671.6368,19373.9041,691025.8379,575740.218
20,000027.SZ,20200828,5.7,0.4471,1.7156,0.83,15.9398,7.7256,1.0337,1.3026,1.4108,0.731,0.731,475738.9916,475738.9916,123991.4671,2711712.2521,2711712.2521
21,000028.SZ,20200828,54.64,1.2752,3.5195,0.85,18.4009,18.5084,1.7722,0.4495,0.4333,0.7321,1.0981,42812.6983,36773.3625,13323.9404,2339285.8351,2009296.527
22,000030.SZ,20200828,7.28,0.9489,3.0245,1.45,14.7933,14.5971,1.9373,1.3097,1.2276,2.0241,2.2439,181055.2111,175988.087,55216.3837,1318081.9368,1281193.2734
23,000031.SZ,20200828,5.61,0.8498,1.6116,1.61,10.11,17.54,1.2953,0.7117,0.7801,1.7959,3.0303,428631.3339,181372.2958,95636.8818,2404621.7832,1017498.5794
24,000032.SZ,20200828,24.15,0.8903,2.2041,0.87,74.4988,80.2146,6.8619,6.6478,7.3412,0.3313,0.3313,41321.9661,41128.366,16613.138,997925.4813,993250.0389
25,000034.SZ,20200828,22.34,1.4855,1.9424,0.86,20.8322,21.3804,3.3818,0.1683,0.176,1.1247,0.9392,65407.0434,49194.2831,37621.2289,1461193.3496,1099000.2845
26,000035.SZ,20200828,5.3,0.4287,0.5739,0.64,18.7602,18.0463,1.2505,0.7196,0.6565,0.0,,252377.7297,236830.4444,176890.7763,1337601.9674,1255201.3553
27,000036.SZ,20200828,4.54,0.5572,0.8357,0.92,8.2403,7.8682,1.4442,2.1262,1.7891,10.166,8.8106,148393.4025,147900.0654,98613.2894,673706.0474,671466.2969
28,000037.SZ,20200828,16.77,1.4599,2.4722,1.09,405.9414,98.8835,4.9484,8.268,7.5854,0.0,0.1193,60276.2596,33889.4011,20012.1057,1010832.8735,568325.2564
29,000038.SZ,20200828,13.33,2.9433,4.4953,0.71,56.9426,37.6824,2.4633,3.7979,5.159,0.0,,52277.7419,23817.7966,15594.5337,696862.2995,317491.2287
30,000039.SZ,20200828,8.97,0.6513,0.9865,0.49,20.8615,47.3412,0.939,0.3749,0.3898,5.0955,1.3372,358674.5482,152600.332,100739.7108,3217310.6974,1368824.978
31,000040.SZ,20200828,3.33,2.4291,2.8504,0.74,,,0.3703,0.7275,0.9632,2.2523,,148687.387,106034.067,90359.3956,495128.9987,353093.4431
32,000042.SZ,20200828,9.33,0.3208,1.0546,0.77,7.88,8.3783,0.7953,0.8599,0.7437,1.0718,1.2862,66483.1139,66234.1514,20149.7971,620287.4527,617964.6326
33,000045.SZ,20200828,8.9,1.4211,3.1403,0.67,230.3421,360.7053,1.6601,2.1004,2.2602,0.0,,50933.8429,45701.7874,20681.9406,453311.2018,406745.9079
34,000046.SZ,20200828,4.15,0.175,0.5603,0.86,19.6961,,1.03,7.1276,8.6584,3.6145,2.4096,519620.0656,517508.8333,161641.5425,2156423.2722,2147661.6582
35,000048.SZ,20200828,37.15,1.6733,5.8742,0.76,13.583,13.7276,7.6943,3.0399,3.264,,2.0188,40249.1731,40240.7651,11462.9097,1495256.7807,1494944.4235
36,000049.SZ,20200828,56.94,1.3278,2.4242,0.74,23.4933,23.333,5.2752,0.6397,0.6313,0.4349,1.2294,20719.7738,20524.3738,11241.6699,1179783.9202,1168657.8442
37,000050.SZ,20200828,16.39,0.9636,2.0658,0.84,40.4752,39.9046,1.2506,1.1085,1.122,0.4271,0.4881,204812.3051,182892.0459,85308.1486,3356873.6806,2997600.6323
38,000055.SZ,20200828,4.88,0.9768,1.24,0.82,15.271,14.5092,1.0259,1.7669,1.8756,4.0984,1.0246,108827.8951,67827.2529,53429.7995,531080.1281,330996.9942
39,000056.SZ,20200828,3.75,0.675,1.9343,1.1,87.0433,,0.8065,4.6414,5.9945,0.2663,,117452.872,90372.8783,31535.9178,440448.27,338898.2936
40,000058.SZ,20200828,8.76,4.3761,8.1643,0.75,137.9825,199.5987,5.6358,7.249,7.194,0.3995,0.3425,123565.6249,53828.2117,28852.0597,1082434.8741,471535.1345
41,000059.SZ,20200828,5.13,0.5632,1.0802,0.63,8.2634,,0.6516,0.2072,0.2375,4.8733,4.5809,159944.2537,159940.9531,83399.0356,820514.0215,820497.0894
42,000060.SZ,20200828,4.46,0.5599,0.8269,0.94,18.6841,21.6947,1.4899,0.6983,0.6436,1.7937,1.6143,356968.5327,356839.7881,241613.7958,1592079.6558,1591505.4549
43,000061.SZ,20200828,8.08,1.2912,1.9571,0.7,44.2064,44.6252,2.6669,4.806,4.6457,0.1238,0.7426,169696.4131,169542.0483,111850.282,1371147.0178,1369899.7503
44,000062.SZ,20200828,15.19,0.4284,1.8082,0.85,25.2167,27.8837,2.9782,1.1067,1.0618,1.135,0.9875,104590.9322,104463.9729,24747.0504,1588736.2601,1586807.7484
45,000063.SZ,20200828,38.83,1.4096,2.0076,1.07,34.7987,35.3663,4.4377,1.9743,1.99,0.0,0.5151,461343.4898,347625.38,244077.36,17913967.7089,13498293.5054
46,000065.SZ,20200828,8.15,0.6034,1.3581,1.17,8.8802,8.6755,1.3091,0.567,0.5641,0.9816,1.1288,76950.8854,67308.5268,29903.559,627149.716,548564.4934
47,000066.SZ,20200828,17.89,1.3979,2.3799,0.69,46.9825,67.0403,6.7489,4.8309,5.2153,0.2802,0.4863,292818.2053,292781.1543,171979.0425,5238517.6928,5237854.8504
48,000068.SZ,20200828,3.52,0.9892,1.83,0.7,590.6787,1815.3144,7.4049,15.7428,14.2405,0.0,,100667.1464,100667.1464,54417.5769,354348.3553,354348.3553
49,000069.SZ,20200828,7.23,0.5545,0.9102,0.99,4.8054,5.0821,0.8854,0.9879,0.997,4.1505,4.1497,820179.3915,703687.3141,428731.4348,5929897.0005,5087659.2809
50,000070.SZ,20200828,11.96,2.5301,4.1021,0.69,30.2168,44.3519,3.5053,2.0974,2.4106,0.2889,0.5769,81650.0162,79516.5811,49044.3461,976534.1938,951018.31
51,000078.SZ,20200828,4.47,1.0198,1.9029,0.9,51.2478,74.6955,1.9348,0.2976,0.3207,0.4474,,276258.3257,262119.9543,140475.4415,1234874.7159,1171676.1957
52,000088.SZ,20200828,7.13,1.2503,2.5814,0.65,44.6164,49.9221,2.2616,27.0267,28.489,0.3787,0.2104,224916.1747,194220.0,94071.1747,1603652.3256,1384788.6
