,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
0,001210.SZ,20210617,20210617,20200331,1,1,1,1.36,1.36,421519058.82,421519058.82,,,,,,,,,,,,,,,,356418.1,,,320000841.71,305835341.79,,,652321.25,745049.43,5713255.6,-568468.63,,,,,,,,,,,,112471726.8,272940.33,26604.87,,112718062.26,16721947.01,95996115.25,92811467.48,3184647.77,,95996115.25,92811467.48,3184647.77,,,,,,4149825.22,,762060.26,,,,,,,,,,,,,,,0
1,688601.SH,20210607,20210607,20200331,1,1,1,0.38,0.38,114581734.98,114581734.98,,,,,,,,,,,,,,,-1257052.05,1600178.77,,,98842624.58,80489089.83,,,349531.01,6553308.24,3617993.73,-1474800.76,-1370607.08,,,,,,,,,,,20373360.78,1000.83,40340.03,,20334021.58,2032026.82,18301994.76,18466469.76,-164475.0,,18301994.76,18466469.76,-164475.0,,,,,,7517232.05,14089.17,63971.95,,,,,,,,,,,,,,,1
2,688087.SH,20210618,20210618,20200331,1,1,1,0.003,0.003,245346544.94,245346544.94,,,,,,,,,,,,,,,203883.87,39695.82,-105448.87,,247433189.76,174241901.98,,,2208176.27,26805696.53,22027844.27,7604758.75,-802258.87,,,,,,,,,,,1183577.86,212987.07,247372.01,,1149192.92,853744.37,295448.55,295448.55,,-5110029.98,-4814581.43,-4814581.43,,,,,,,13100836.82,2950474.18,249752.19,,,,,,,,,,,,,,,1
3,688728.SH,20210730,20210730,20200331,1,1,1,0.12,0.1,1247653089.0,1247653089.0,,,,,,,,,,,,,,,,357404.0,,,1035900161.0,880956276.0,,,2277549.0,26293510.0,30402884.0,1698233.0,-23682909.0,,,,,,,,,,,212657963.0,3294.0,157872.0,,212503385.0,15990772.0,196512613.0,196512613.0,,-14244503.0,182268110.0,182268110.0,,,,,,,67199608.0,14138467.0,468470.0,,,,,,,,,,,,,,,1
4,688071.SH,20210709,20210709,20200331,1,1,1,-0.181,-0.181,18595338.61,18595338.61,,,,,,,,,,,,,,,,-725.17,-725.17,,31237487.27,14677230.46,,,143100.59,1985565.45,6989920.43,3787156.77,,,,,,,,,,,,-11643564.96,500.0,,,-11643064.96,-1882306.0,-9760758.96,-9903102.49,142343.53,,-9760758.96,-9903102.49,142343.53,,,,,,4041161.45,3605707.26,9910.58,,,,,,,,,,,,,,,1
5,688038.SH,20210623,20210623,20200331,1,1,1,0.0301,0.0301,22338086.31,22338086.31,,,,,,,,,,,,,,,274769.81,1191367.23,,,21015377.16,12968767.79,,,78033.84,1695641.85,3098136.58,200365.05,,,,,,,,,,,,2960781.97,38045.29,0.04,,2998827.22,372159.86,2626667.36,2626667.36,,,2626667.36,2626667.36,,,,,,,3999004.25,1660344.85,351907.73,,,,,,,,,,,,,,,1
6,688303.SH,20210705,20210705,20200331,1,1,1,0.18,,1179684976.54,1179684976.54,,,,,,,,,,,,,,,,,,,882226669.14,794339772.13,,,3186581.78,777312.35,19841716.49,45290872.13,-6024362.66,,,,,,,,,,,299446588.73,128381.28,2104109.21,,297470860.8,44877356.19,252593504.61,252613439.28,-19934.67,,252593504.61,252613439.28,-19934.67,,,,,,12766051.6,46273867.99,1027258.14,,,,,,,,,,,,,,,1
7,688718.SH,20210708,20210708,20200331,1,1,1,0.02,,51373453.06,51373453.06,,,,,,,,,,,,,,,24333.33,22527.24,-49797.52,,48805111.3,33604515.43,,,703125.11,1204480.68,7787178.2,-603289.78,,,,,,,,,,,,2930299.69,48.54,38727.53,,2891620.7,140632.95,2750987.75,2750987.75,,236703.39,2987691.14,2987691.14,,,,,,,4231657.02,466177.77,661187.26,,,,,,,,,,,,,,,1
8,600905.SH,20210609,20210609,20200331,1,1,1,0.0494,,2664506371.28,2664506371.28,,,,,,,,,,,,,,,46144563.71,136595379.89,128100807.58,,1680517240.35,1034363542.81,,,17982224.38,,73702129.02,490758033.84,,,,,,,,,,,,1207619245.22,2134723.36,38366963.69,,1171387004.89,109590321.13,1061796683.76,987334251.32,74462432.44,8854605.81,1070651289.57,996188857.13,74462432.44,,,,,,,481907016.96,5915835.92,,,,,,,,,,,,,,,1
9,688499.SH,20210610,20210610,20200331,1,1,1,0.11,0.11,173395082.6,173395082.6,,,,,,,,,,,,,,,,,,,174033522.98,109434471.53,,,435341.03,13157281.32,20798176.63,3027897.84,-6417.21,,,,,,,,,,,3372514.14,27320.02,279748.76,,3120085.4,-3482532.06,6602617.46,6602617.46,,972507.35,7575124.81,7575124.81,,,,,,,29136174.2,2703050.94,761820.49,,,,,,,,,,,,,,,1
