,trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
0,20200922,000782.SZ,美达股份,4.4,10.0,0.0,1000.9757,9.4264,185115600.0,09:25:00,09:25:00,0,100.0,U
1,20200922,003000.SZ,华文食品,12.82,10.04,0.0,9386.206,36.1304,185323216.0,09:25:00,09:25:00,0,100.0,U
2,20200922,003002.SZ,N壶化,11.84,44.04,24.09,2598.8064,13.7462,81377224.0,09:25:00,09:25:00,0,100.0,U
3,20200922,003003.SZ,天元股份,16.62,9.99,0.0,19973.14,24.4043,179274864.0,09:25:00,09:25:00,0,100.0,U
4,20200922,003005.SZ,N竞业达,45.84,44.02,24.0,1769.0668,8.5175,103466792.0,09:25:00,09:25:00,0,100.0,U
5,20200922,003006.SZ,百亚股份,10.47,9.98,0.0,14162.177,17.862,80004872.0,09:25:00,09:25:00,0,100.0,U
6,20200922,603112.SH,华翔股份,14.99,9.98,0.0,2283.5712,11.7229,93486528.0,09:25:03,09:25:03,0,100.0,U
7,20200922,605358.SH,立昂微,13.81,10.04,0.0,15107.46,32.8031,183831648.0,09:25:05,09:25:05,0,100.0,U
8,20200922,605369.SH,拱东医疗,66.74,10.0,0.0,7731.2035,31.466,420008160.0,09:25:02,09:25:02,0,100.0,U
9,20200922,688156.SH,N路德,29.3,84.16,18.48,0.0495,0.0374,229126.0,09:25:02,09:25:02,0,100.0,U
10,20200922,688526.SH,N科前,31.58,170.15,53.29,0.0128,0.0095,240008.0,09:25:01,09:25:01,0,100.0,U
11,20200922,603557.SH,起步股份,15.38,10.01,0.0,622.5469,3.0531,220683824.0,09:25:03,09:25:03,0,86.78914,U
12,20200922,002819.SZ,东方中科,35.2,10.0,0.0,606.5286,3.196,156643520.0,09:25:00,09:25:00,0,86.2285,U
13,20200922,002650.SZ,ST加加,7.68,5.06,1.09,23.2657,0.4381,38762112.0,09:25:00,10:00:00,6,61.25848,U
14,20200922,002113.SZ,*ST天润,1.41,5.22,0.75,7.621,0.3673,4872071.5,09:30:00,13:46:57,29,60.030468,U
