,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
0,300481.SZ,20200217,18250,3010.58,26787,4425.85,32516,5370.1,31453,5196.99,17080,2820.52,12216,2015.96,3650,606.65,1040,169.05,3943,656.43
1,002560.SZ,20200217,23331,1209.65,27598,1435.0,35882,1863.03,35274,1831.9,10498,545.34,6840,351.11,0,0.0,0,0.0,16028,829.18
2,002609.SZ,20200217,39704,5021.7,33080,4189.89,48449,6136.29,50928,6445.94,26402,3349.35,33057,4191.55,7922,1005.33,5412,685.29,9486,1209.25
3,300224.SZ,20200217,60393,5881.75,59727,5824.59,62588,6095.55,55631,5426.14,25561,2489.59,34082,3304.46,898,88.29,0,0.0,16066,1595.17
4,600067.SH,20200217,23380,852.72,18949,691.33,16578,605.05,19103,696.2,13135,479.03,15041,549.27,0,0.0,0,0.0,9190,336.95
5,600221.SH,20200217,245111,3777.15,261298,4030.41,299521,4609.41,254897,3926.12,291917,4488.45,294792,4533.36,218540,3348.28,244103,3733.38,418113,6433.49
6,603569.SH,20200217,15470,1507.89,16690,1630.45,16662,1622.24,15044,1467.0,8235,801.98,8634,834.67,0,0.0,0,0.0,5287,524.35
7,002691.SZ,20200217,24636,1328.7,29232,1580.52,21904,1181.69,26476,1428.66,12721,693.63,8422,457.1,8492,466.67,3624,204.39,1905,83.53
8,300355.SZ,20200217,52197,1628.16,68244,2133.99,60286,1880.93,51564,1610.9,28678,895.78,38029,1187.63,30795,964.72,14119,437.08,45008,1409.04
9,600198.SH,20200217,64025,5991.49,73426,6891.33,90555,8486.94,88003,8249.18,58490,5493.33,64074,6007.62,15972,1508.06,3539,331.68,34254,3250.17
10,600352.SH,20200217,143714,18798.15,155600,20353.47,204195,26707.99,216402,28297.67,235455,30781.7,236743,30956.61,106171,13895.09,80790,10575.18,59348,7775.85
11,300486.SZ,20200217,5993,1471.81,8784,2162.19,8288,2037.5,7615,1872.41,6413,1580.44,4386,1079.73,1301,317.52,1210,292.94,-2888,-713.1
12,300640.SZ,20200217,9970,695.57,9671,674.58,6366,443.63,7614,530.77,1697,118.54,748,52.38,0,0.0,0,0.0,3393,237.03
13,600483.SH,20200217,14803,1215.81,19349,1591.2,30073,2472.25,33420,2744.41,19744,1621.9,11851,974.35,0,0.0,0,0.0,4749,396.46
