,ts_code,trade_date,suspend_timing,suspend_type
0,000029.SZ,20200120,,S
1,000032.SZ,20200120,,S
2,002450.SZ,20200120,,S
3,002761.SZ,20200120,,S
4,002902.SZ,20200120,,S
5,300397.SZ,20200120,,S
6,600145.SH,20200120,,S
7,600186.SH,20200120,,S
8,600226.SH,20200120,,S
9,600817.SH,20200120,,S
10,688278.SH,20200120,10:22-10:32,S
11,000792.SZ,20200120,,R
12,000803.SZ,20200120,,R
13,600679.SH,20200120,,R
14,830832.BJ,20200120,,R
15,430564.BJ,20200120,,S
16,834770.BJ,20200120,,S
17,835857.BJ,20200120,,S
18,833394.BJ,20200120,,S
19,832651.BJ,20200120,,S
