code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
600602.SH,0.6659,0.729,0.8392,0.838,0.8174,0.8264,0.7171,0.7387,0.8244,0.8926,0.8682,0.9609
600601.SH,0.2915,0.2924,0.3185,0.2825,0.3021,0.304,0.2174,,,,,
000002.SZ,3.6063,3.5319,4.0745,3.8996,4.0665,3.9981,3.8938,3.728,3.6282,3.6901,3.3114,3.5422
000001.SZ,0.8256,0.8848,1.0023,0.921,2.6638,1.7031,1.6342,1.4456,1.437,1.2282,1.1044,1.1272
000009.SZ,0.2572,0.2249,0.2834,0.2541,0.2415,0.1958,,0.2614,0.2857,0.2646,0.2688,0.2656
600603.SH,5.4002,6.0413,5.2127,14.9691,16.5684,10.114,8.5066,8.8544,9.4546,9.9886,9.8648,9.8852
000012.SZ,0.9881,0.8983,1.0354,1.0169,0.999,,1.1589,1.1945,1.2456,1.1765,1.0219,0.9485
000016.SZ,1.9194,1.0352,1.1976,1.3316,1.5221,1.4793,0.6925,0.6993,0.8251,0.8562,0.7386,0.7564
600604.SH,0.3086,0.3458,0.3592,0.3165,,0.1275,0.1288,0.131,0.1596,0.1642,0.1626,0.1818
600606.SH,4.6225,5.137,5.5453,5.3004,5.6075,4.8544,4.896,5.2288,6.2794,6.462,6.2112,6.8611
600605.SH,0.3604,0.3887,0.3933,0.3887,0.7951,0.4625,0.3698,0.3717,0.4149,0.4352,0.3987,0.4163
000011.SZ,3.4014,3.9318,3.6101,3.3076,3.7935,2.25,1.382,1.7848,2.0157,2.5733,2.6049,2.9581
000006.SZ,3.8386,4.2117,4.3527,3.9078,4.0541,2.6285,2.1618,2.8013,2.7838,3.1294,3.1239,3.1907
000008.SZ,0.2905,0.3184,0.3164,0.3124,0.6589,0.3323,0.3213,0.3203,0.3392,0.3631,0.3591,0.3846
000014.SZ,0.7237,0.8088,0.844,0.7961,0.7621,0.1017,0.0821,0.0993,0.1049,0.1187,0.1187,0.1329
600611.SH,3.0534,3.3613,3.4783,3.3333,3.1169,3.1915,,3.1862,3.3881,3.494,3.3421,3.4841
600612.SH,2.1947,2.4887,2.7459,2.6771,2.3595,2.2826,1.7945,2.1375,2.4421,2.5011,2.4385,2.537
600655.SH,3.5548,3.8326,3.691,3.5502,3.2625,6.31,2.8165,2.9188,3.2758,3.3248,3.1999,3.2539
600616.SH,,,,,,,0.4848,0.4438,0.5106,0.5128,0.3539,0.2151
000019.SZ,1.7036,1.642,1.2755,1.0965,1.1933,2.4876,2.1053,2.0141,2.4096,2.5674,2.5575,2.6667
600617.SH,0.431,0.4988,0.551,0.5634,0.5208,0.5115,,,,,,
600618.SH,1.5424,1.4118,1.6667,1.662,1.6736,1.6901,1.1507,1.2516,1.3755,1.4006,1.2739,1.368
600619.SH,1.8218,1.756,1.7269,1.8496,1.7688,4.0872,2.214,2.1454,2.3904,2.514,2.4324,2.514
600620.SH,0.4831,0.5338,0.5102,0.5367,0.4959,0.5102,0.3576,0.369,0.4,0.4286,0.4208,0.4862
