code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
000005.SZ,314210.0339,295167.0015,289877.2703,283529.5929,271892.1842,278239.8616,308920.3027,311036.1951,272950.1304,267660.3992,272950.1304,267660.3992
600602.SH,931151.6686,850541.4242,738927.2398,739960.7044,758563.0685,750295.3511,778198.8973,755462.6745,703668.4585,649953.309,668216.4598,603758.2804
600651.SH,340886.1207,382265.3608,360590.5207,,317240.8406,315270.4006,390147.1208,412807.1808,378324.4808,361575.7407,358620.0807,337930.4607
600652.SH,212339.392,200681.543,178198.5486,174035.0311,162377.1821,170704.2171,166540.6996,175700.4381,171536.9206,163209.8856,178198.5486,154050.1471
600653.SH,373705.0209,435989.191,365919.4996,367865.8799,344509.3161,346455.6964,381490.5421,389276.0634,369812.2602,346455.6964,369812.2602,352294.8374
600601.SH,752847.683,750652.7918,689195.8381,776991.4862,726508.9885,722119.2061,1009649.9538,1044768.2131,919659.4145,906490.0673,873566.6992,871371.808
600654.SH,160069.1486,162334.2781,157048.976,145723.3287,121561.9478,117786.732,120051.8615,122316.9909,121561.9478,129112.3793,130622.4656,131377.5088
000004.SZ,191507.0009,341557.1839,256042.0069,232292.4533,242362.9354,250419.3211,240684.5217,214663.9937,193768.2414,223223.6994,231783.4052,173711.6759
000002.SZ,28154562.7846,28747188.1572,24919411.1603,26036655.7152,24967987.0105,25395454.4924,26075516.3954,26490936.8277,27219510.4479,26762937.6459,29822946.8505,27880083.8635
000001.SZ,30156539.6647,28138341.386,24839363.4304,27032213.4832,25227478.484,24839363.4304,25887274.0751,29263875.0414,29438526.8156,34445211.007,38306955.7903,37530725.6831
000009.SZ,1648406.2976,1884983.1273,1495776.0849,1668756.9926,1755247.4465,2164805.184,2129191.4677,1952201.9608,1786328.5916,1929234.8789,1898612.1031,1921579.185
600603.SH,283796.9611,253681.8159,294005.4849,372659.0327,336688.0836,338846.3405,406950.6459,390963.2991,630845.4177,597117.0489,604612.2419,603363.0431
000012.SZ,900473.0078,990520.3086,859364.4575,874805.5344,890462.0093,982443.7992,1182063.854,1146836.7855,1099867.3609,1164450.3198,1340585.6623,1444309.8084
600608.SH,146450.8629,134034.3767,131169.0337,143267.1485,137218.0911,141356.9198,142948.777,146132.4914,138173.2054,142312.0341,136581.3482,130532.2908
000016.SZ,831815.2103,1542290.7738,1333139.5405,1199027.2993,1048949.3151,1079284.2268,1152726.6446,1141550.6245,967524.0258,932399.3912,1080880.8011,1055335.6123
600604.SH,1140038.3912,1017589.8233,979588.5436,1111889.2952,1140038.3912,1324414.9706,1311747.8773,1289228.6005,1058406.0126,1028849.4617,1038701.6454,928920.1706
600606.SH,7897132.1959,7106202.1608,6582971.5223,6887175.3819,6509962.596,7519919.4099,9941382.1325,9308638.1045,7751114.3432,7532087.5643,7836291.4239,7094034.0065
600605.SH,163552.4971,151617.5852,149849.4501,151617.5852,166794.0781,159279.504,199209.8884,198178.4762,177550.2334,169298.9362,184770.1184,176960.855
000011.SZ,464322.3459,401675.6801,437473.7748,477513.3175,499625.2903,842360.8688,1371468.7895,1061901.1702,940285.3198,736539.2847,727589.2004,640720.7358
000017.SZ,121192.4032,112102.973,107558.2578,96347.9605,68170.7268,69685.6318,83622.7582,78472.0811,73018.4229,75139.29,76048.233,73018.4229
000007.SZ,281451.6681,266622.162,249938.9676,245922.643,253028.448,269711.6424,265695.3178,280524.824,290411.1614,273727.967,293191.6938,215336.7867
000006.SZ,684940.4498,624266.591,604041.9715,672805.678,648536.1345,918197.7289,1116399.0008,861568.7941,866962.026,771232.16,772580.468,756400.7723
000020.SZ,185151.0296,175730.4293,164317.0096,163773.5135,176092.7601,207796.7035,238957.1507,222471.1001,219934.7847,182071.218,181165.391,180984.2256
000008.SZ,911531.7173,831572.7947,836903.3896,847564.5792,796923.9283,783597.4412,810250.4154,812880.5933,767572.4946,716934.0314,724929.5783,676956.2973
000014.SZ,183955.1305,164591.4326,157733.4562,167213.6,174676.6919,218245.0123,270284.9506,223489.3472,211588.7412,186980.7083,186980.7083,167011.8948
600609.SH,426140.1815,429418.1829,434881.5185,492792.8765,612986.2611,764866.9924,828241.6861,761588.991,720067.64,590040.2513,641395.6065,626098.2666
600610.SH,,,,,,,,208443.8975,173515.4606,158116.9024,163750.5212,189665.168
600611.SH,614383.3311,558103.9419,539344.1456,562793.891,601876.8001,587806.9529,623763.2292,603440.1165,567483.8401,550287.3601,575300.422,551850.6765
600612.SH,1589353.4656,1401624.5646,1270341.1778,1303003.4697,1478365.0951,1528151.307,1943882.0319,1706049.8094,1493269.2477,1458070.0787,1495489.0151,1437457.9528
600613.SH,410777.2211,359969.3035,324978.9451,316351.1855,307723.4259,322582.3452,398794.2217,354217.4637,319706.4253,315392.5455,247329.1086,234866.7892
600614.SH,270556.2908,205562.3215,178355.5436,160217.6917,137545.3769,,,,,,,
600655.SH,1216675.5913,1128510.6934,1171791.6433,1218278.5894,1325679.4651,1420256.3556,1646279.0939,1588571.1607,1415447.3612,1394608.3853,1449110.3222,1427109.8455
600615.SH,184622.5159,157792.2112,152538.725,148598.6103,172989.7964,173927.9189,172426.9229,168862.0572,151412.978,151600.6025,153476.8475,125708.4204
600616.SH,246502.593,223859.3485,231064.0172,250104.9273,275835.8869,285099.0324,318446.3562,347882.574,302390.2374,301052.2275,436191.2274,717842.3114
000019.SZ,244145.2736,253295.5224,326081.592,379589.3632,348789.3491,334637.9912,395405.5867,413271.5382,345433.4106,324207.9841,325456.5386,312138.624
600617.SH,452360.2556,390940.6519,353893.9069,346094.5921,374367.1081,381191.5085,488432.0863,489407.0007,430912.14,415313.5105,433836.8831,457234.8273
600618.SH,583375.5013,637363.9796,539884.7827,541384.4627,537635.2628,532386.383,651610.9391,599122.1408,545133.6626,535385.7429,588624.3812,548133.0225
600619.SH,465712.8376,483177.069,491327.0437,458727.145,479684.2227,463966.4145,473280.6712,488416.3384,438352.2084,416812.9897,430784.3748,416812.9897
600620.SH,426426.4872,385912.5375,403766.1424,383852.5062,415439.6534,403766.1424,576122.0978,558268.4929,515007.8348,480673.9791,489600.7816,423679.7787
000501.SZ,850675.0385,818429.2338,881385.3287,849907.2813,965070.8695,1203843.3758,1924767.4383,1434279.5856,1136367.1235,1001231.5737,968215.5019,894505.202
000502.SZ,128526.2169,139343.6873,121743.0434,118442.7802,119359.52,121743.0434,131277.1372,137694.3157,142094.6667,135494.1402,138794.4034,169596.8602
000503.SZ,1470473.1257,1289809.8627,1128920.6882,983311.4912,957245.6473,1001287.9353,1173861.7984,1087574.8668,988704.4244,922191.5813,976120.9135,751415.3625
600621.SH,747744.2863,788958.5383,829637.5403,888515.0432,1743057.5368,2047535.6336,2305334.1615,2346709.2339,2091032.5045,1869304.5525,1993429.7697,2415667.6879
600622.SH,556383.2841,649363.7791,547385.1717,677857.8017,557882.9695,589376.363,629867.8688,632867.2396,568380.7674,538387.0593,580378.2506,506893.6659
600623.SH,1188081.5348,1074487.5323,996275.2682,972066.7103,962755.7265,960893.5297,1085660.7128,1044692.384,1026070.4164,1009310.6455,1137802.2222,1080074.1225
000504.SZ,233936.9204,220888.6459,217781.9139,222752.6851,230519.5151,394244.2921,393001.5993,420962.1874,440845.2722,385856.1156,375914.5732,380263.998
000505.SZ,222151.9099,219715.143,313936.794,337086.079,327339.0116,311500.0272,365108.8976,463391.8266,405721.6782,351706.68,396899.2062,403718.7802
600624.SH,645683.4254,690189.7061,562148.5602,574473.3764,659377.6656,684027.298,668278.9218,670333.0578,589537.0406,621718.5051,603915.9928,536129.5038
600626.SH,507522.4999,523685.6369,408119.2077,396805.0119,430747.5995,404886.5803,440445.4816,395188.6982,347507.4442,328919.8367,347507.4442,322454.582
600628.SH,534965.9426,659166.0163,769781.707,768487.9562,778837.9623,758784.8254,802125.4762,672750.3994,602240.9825,582187.8456,567309.7118,504562.7995
600630.SH,382375.4373,396820.7316,319495.9209,284232.4084,291879.9171,285931.8548,302501.4571,292729.6403,270211.9757,274460.5917,267237.9445,248968.8958
600629.SH,371382.2118,347667.4441,400397.6132,405584.1108,430479.2991,445520.1421,464191.5334,476120.4778,446557.4416,430997.9489,422180.903,406621.4103
600635.SH,1141669.6706,1018311.2952,977191.8367,1040080.4203,1047336.7953,1102969.0038,1194883.0875,1170695.1707,1035242.8369,1020730.0869,1037661.6286,1001379.7535
600633.SH,1197770.0368,1305829.7249,1339679.7476,1245941.223,1206883.5044,1273281.626,1377435.5423,1454249.0555,1278489.3218,1196468.1128,1186052.7212,1059766.0977
600634.SH,84056.8838,82905.4197,82905.4197,63906.261,65057.7252,57573.2081,59300.4043,64481.9931,61027.6006,56421.7439,,
000506.SZ,256313.1852,267457.2368,249812.4885,222881.0306,210808.3081,222881.0306,264671.2239,275815.2754,238668.437,216380.3339,249812.4885,222881.0306
600637.SH,3626199.2135,3469132.2042,2987687.6759,3076464.6811,3414500.201,3294992.694,3462303.2038,3639857.2143,3308650.6948,3134511.1845,3247189.6912,3052563.1797
600636.SH,472412.2874,607834.1636,502357.0587,553307.8636,515318.2284,549732.3686,641354.43,713311.2685,553307.8636,650293.1677,601130.1103,599789.2997
000507.SZ,447071.2469,388388.3198,392249.0387,389160.4636,444997.207,440791.1842,495469.48,492104.6618,468550.9344,440791.1842,490422.2527,477804.1844
600639.SH,1137616.7086,1067047.0623,1041539.9612,1214138.0119,1237944.6396,1358678.2514,1293210.0253,1207336.1183,1067047.0623,1079800.6128,1069597.7724,1054293.5117
600638.SH,412118.833,367674.6452,354206.7094,338718.5834,367001.2484,410772.0395,499660.4152,529963.2706,436361.1173,471377.7502,437034.5141,472724.5438
600640.SH,1292553.6013,1250116.821,1313693.9969,1367005.6249,1307328.4294,1587413.4003,1538875.948,1356661.5777,1246059.842,1094877.6134,1143415.0658,974727.5265
600641.SH,1628440.671,1761456.8644,1475270.5088,1475270.5088,1604255.9085,1894473.0578,1981000.0755,2069129.6726,1712779.5624,1611238.9395,1613154.8003,1932145.6249
600642.SH,2521829.2271,2398924.1925,2403476.2308,2412580.3075,2448996.614,2690254.6448,2594661.8401,2608317.9551,2503621.0738,2376164.001,2540037.3803,2376164.001
600643.SH,1303559.2456,1197438.911,1140076.5679,1134340.3336,1104225.1035,1140076.5679,1249065.0197,1270575.8983,1188834.5595,1148680.9194,1184532.3838,1078412.0492
600644.SH,291813.1572,265431.5249,258970.717,270277.1308,271353.9321,269200.3295,293966.7598,302581.1704,277276.3394,268661.9288,290736.3559,320886.7928
000023.SZ,171363.9564,158182.1136,199253.9606,221316.2028,230751.6271,224507.5963,266828.2495,249067.4508,236856.9017,224923.865,238383.2203,226172.6712
600645.SH,654719.4488,702691.2725,711901.8626,715739.6085,780213.7394,1084163.2139,1212766.9015,1237014.0201,1009337.6855,965364.0974,920157.605,805908.4696
600647.SH,184365.2038,168224.552,172120.5714,167250.5471,182834.6247,200505.8556,206767.3153,217481.3687,198418.7023,183808.6296,183947.7731,166972.26
600648.SH,1582602.2194,1372274.104,1368534.9375,1341425.9804,1275990.5668,1321795.3563,1431165.9763,1464818.4748,1301229.9406,1519036.389,1371339.3124,1305903.8987
001872.SZ,767945.9512,674974.2864,656844.8118,660098.8201,642899.0621,676368.8614,783286.2759,752140.7682,714952.1023,697752.3443,975037.7769,945347.2234
000510.SZ,224736.9752,282432.2867,211549.4754,218143.2253,219242.1836,241770.8291,254408.8497,247265.6207,236825.5167,229132.8085,246166.6623,256606.7663
000509.SZ,178303.6526,196464.2098,,99057.5848,88326.3464,129600.3401,190685.8507,188183.9833,155994.6178,170025.8797,180755.6682,222024.0856
600649.SH,1326594.1377,1256391.1632,1329014.9299,1305261.0271,1355852.5398,1502567.9266,1469683.4434,1469683.4434,1441858.1114,1396325.75,1414032.7794,1373559.5693
600657.SH,560927.8427,528918.3734,531966.8943,600558.6141,586840.2702,627995.3021,731645.0122,752984.6583,676771.6362,634092.3439,690489.9802,617325.479
600658.SH,532446.4814,525734.9712,477635.8142,541395.1618,654372.2513,667795.2719,701352.8232,694641.3129,608510.2645,648779.3261,686811.2176,605154.5093
000026.SZ,367417.859,320688.0148,302831.7542,299978.2159,298214.8836,318547.7166,659568.5644,586441.709,588225.2908,491911.8715,431983.5216,407726.8086
600650.SH,386654.4743,341740.0656,335881.6645,342521.1858,370641.5112,361658.6295,400714.637,411650.3191,368298.1507,342521.1858,355019.1082,352285.1877
600660.SH,4925343.3904,4640919.3312,3841727.7848,3963909.951,3933865.156,4180232.4749,4887286.6501,5804654.3901,6487672.7293,7507192.7723,8031975.1913,9624349.3253
600662.SH,466639.4506,408704.5301,400277.6326,,855330.0991,840583.0284,1036508.3959,1071269.3482,902731.3977,876397.3429,925905.3659,929065.4525
600661.SH,409859.0641,565564.0563,411413.5233,404159.3806,416595.0538,446443.0771,477963.4484,471659.3742,431255.9892,399735.6179,433261.831,428677.0497
000025.SZ,787127.7533,752956.0394,697574.2963,696788.7397,693253.7348,719962.6606,821299.4671,864897.8606,789091.6449,744314.9164,742351.0248,663795.3608
600663.SH,3790032.1805,3370547.1946,3253208.737,3435083.3462,3338279.1187,3288410.2742,3687361.0301,3652159.4928,3361746.8102,3373480.656,3417482.5776,3138803.7408
600664.SH,1015316.8058,1143171.5147,1010302.8956,917545.5578,864899.5012,772142.1634,884955.1418,869913.4114,847350.8157,822281.2649,817267.3548,799718.6692
600665.SH,307627.6175,281703.9418,297258.1472,299850.5148,302442.8824,299850.5148,307627.6175,321453.5778,306763.495,299850.5148,302442.8824,269606.2266
600666.SH,183233.4613,186448.0834,163945.7285,,130995.8517,120548.3298,118941.0187,120548.3298,108493.4968,105278.8747,109297.1524,99653.286
000514.SZ,351008.7214,331601.9892,356071.3472,327383.1344,321476.7377,322320.5086,351008.7214,346789.8666,326539.3635,324851.8215,334977.0731,319789.1957
