code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
000005.SZ,2.0458,1.9218,1.8874,1.8491,1.7732,1.8146,2.0147,1.9232,1.6877,1.6504,1.683,1.6504
600602.SH,3.0041,2.744,2.3839,2.3637,2.4232,2.3967,2.531,2.4168,2.1655,1.9694,2.0247,1.8294
600651.SH,,,,,,,,2.5824,2.1691,2.0731,3.1382,2.9571
600652.SH,1.2572,1.1881,1.055,1.028,0.9591,1.0083,0.9837,1.0267,1.0024,0.9606,1.0489,0.9067
600653.SH,1.7585,2.0516,1.7218,1.9999,1.8729,1.8835,2.074,2.1075,2.0021,1.8757,2.0052,1.9102
600601.SH,2.6565,2.6487,2.4319,4.3092,4.0293,4.0049,5.5996,5.87,5.1671,5.0931,5.0828,5.07
600654.SH,,,,13.7461,11.467,11.1109,11.3245,15.5285,15.4326,16.3912,54.8907,55.208
000004.SZ,2.7361,4.8799,3.6582,3.2727,3.4146,3.5281,3.3909,3.0271,2.7324,3.0287,3.1448,2.3569
000002.SZ,1.9581,1.9993,1.5415,1.6055,1.5396,1.5508,1.5923,1.7236,1.771,1.5792,1.7598,1.6451
000001.SZ,1.1045,1.0306,0.9098,0.9572,0.7687,0.8929,0.9306,1.0398,1.046,1.1926,1.3263,1.2994
000009.SZ,3.1014,3.5465,2.8142,3.0426,3.2003,3.947,3.8821,3.5073,3.2093,2.8822,2.8364,2.8707
600603.SH,1.1547,1.0321,1.122,1.196,1.0806,1.0875,1.1393,1.0946,1.0259,0.9605,0.9726,0.9706
000012.SZ,1.4976,1.6474,1.4293,1.446,1.4719,1.6253,2.0009,1.9028,1.8249,1.7975,2.0694,2.2295
600608.SH,26.3426,24.1092,23.5938,24.1065,23.0886,23.7851,24.0529,24.2952,22.9719,23.5673,22.6183,21.6166
000016.SZ,1.5052,2.7908,2.4123,2.3046,2.0162,2.0745,2.2502,2.1407,1.8144,1.7485,1.9137,1.8684
600604.SH,2.4918,2.2242,2.1411,2.2977,2.3558,2.7464,2.7201,2.7028,2.2189,2.1703,2.191,1.9595
600606.SH,0.9884,0.8894,0.8239,0.8933,0.8444,0.9754,1.3764,1.2319,1.0258,0.9326,0.9702,0.8783
600605.SH,2.3591,2.187,2.108,2.0873,2.3197,2.2152,2.7706,2.6307,2.3569,2.2214,2.4244,2.322
000011.SZ,1.6119,1.3944,1.5733,1.6388,1.8339,3.092,5.0341,3.8211,3.3835,2.6652,2.6328,2.3185
000017.SZ,151.5993,140.2294,134.5444,268.6002,190.0473,194.2706,233.1247,143.9937,133.9864,110.4244,111.7602,107.3076
000007.SZ,17.3986,16.4819,15.4506,14.7832,15.2103,16.2132,15.9718,17.5213,18.1388,17.0968,20.0682,14.7392
000006.SZ,1.0174,0.9272,0.8972,0.9815,0.9461,1.3883,1.688,1.2844,1.2924,1.1017,1.1036,1.0805
000020.SZ,8.8406,8.3907,7.8458,7.7798,8.365,9.8711,11.3513,10.4549,10.3357,8.5105,8.4681,8.4597
000008.SZ,1.3198,1.204,1.2117,1.2033,1.1356,1.1166,1.1546,1.1887,1.1225,1.0484,1.0523,0.9827
000014.SZ,2.1384,1.9133,1.77,1.8601,1.9432,2.4339,3.0142,2.4497,2.3192,2.0712,2.0712,1.85
600609.SH,10.1977,10.2761,10.4068,11.6676,14.5134,8.596,9.3082,8.3237,7.8699,6.4488,6.83,6.6671
600610.SH,,,,,,,,110.1586,91.6996,83.5618,88.4661,102.4665
600611.SH,1.0178,0.9246,0.8657,0.9191,0.9829,0.96,1.0187,1.0178,0.9571,0.9281,0.9559,0.9169
600612.SH,3.8678,3.411,2.9852,2.9084,3.2998,3.4109,4.3388,3.9318,3.4414,3.1415,3.2221,3.0971
600613.SH,1.7474,1.5312,1.3824,1.3467,1.3099,1.3732,1.6976,1.4923,1.3469,1.3288,1.1148,1.0587
600614.SH,3.129,2.3773,2.0627,5.0968,4.3755,,,,,,,
600655.SH,0.9975,0.9252,0.9048,0.9373,1.0199,1.1331,1.3134,1.2461,1.1103,1.0857,1.1281,1.1094
600615.SH,2.9352,2.5087,2.4251,2.3629,2.7508,2.7657,2.7418,2.6869,2.4092,2.42,2.4499,2.0067
600616.SH,1.2644,1.1482,1.1852,1.2781,1.4096,1.457,1.6403,1.8037,1.5678,1.5609,2.2435,3.6921
000019.SZ,1.5423,1.6001,2.0598,2.3338,2.1445,2.1684,2.5622,2.6005,2.1736,1.9949,2.0025,1.9206
600617.SH,1.3309,1.1502,1.0412,1.029,1.113,1.1333,1.4521,1.553,1.3674,1.4428,1.5072,1.5885
600618.SH,2.0086,2.1945,1.8589,1.7618,1.7496,1.7325,2.1735,1.9728,1.795,1.6929,1.8613,1.7332
