code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
000005.SZ,16.8276,15.8078,15.5245,44.7535,15.8671,16.2376,18.028,38.7453,34.001,26.1115,26.6275,26.1115
600602.SH,44.6896,40.8208,35.464,44.367,45.4824,44.9866,46.6597,47.4181,42.4882,38.9514,40.0459,36.183
600652.SH,,,,,,,,103.4026,100.9523,70.2103,76.6582,66.27
600653.SH,8.8105,10.2789,8.627,,,,,,,,,
600654.SH,,,,43.942,36.6563,35.5179,36.2009,27.5078,27.338,29.036,22.6176,22.7483
000004.SZ,,,,2918.6578,3045.1892,3146.4143,3024.1006,556.0601,501.9323,62.2916,64.6802,48.4751
000002.SZ,8.6128,8.7941,7.4578,7.7664,7.4477,7.7867,7.9952,8.013,8.2333,7.9041,8.8078,8.234
000001.SZ,10.6958,9.98,8.8099,9.227,8.611,8.4785,8.8362,11.0556,11.1216,12.7708,14.2026,13.9148
000009.SZ,52.9137,60.5078,48.0143,61.4728,64.6589,79.746,78.4341,66.1341,60.5148,31.3474,30.8498,31.223
600603.SH,12.2714,10.9692,8.865,7.7435,6.996,7.0409,7.9177,7.6063,7.1235,6.9019,6.9885,6.9741
000012.SZ,27.0706,29.7777,25.8348,26.9507,27.433,29.9016,35.9772,32.6838,31.3453,25.4133,29.2574,31.5211
600608.SH,2447.4251,2239.926,2192.0416,338.229,323.9482,333.7193,337.4774,312.9253,295.8815,297.0594,285.0972,272.4705
000016.SZ,29.0438,53.8508,46.5481,,,,,,,,43.2517,42.2295
600604.SH,75.264,67.1801,64.6713,40.6318,41.6605,48.3981,47.9352,57.0178,46.8094,55.6189,56.1515,50.2168
600606.SH,5.3172,4.7846,4.4323,4.9197,4.6502,5.3717,7.2181,6.7574,5.6268,5.0309,5.2341,4.7383
600605.SH,320.5444,297.1533,64.9557,37.2965,41.0298,39.1813,49.0038,37.1082,33.2456,30.4597,33.2433,31.8383
000011.SZ,9.5297,8.244,6.0559,6.0642,6.345,10.6975,17.4169,12.9812,11.4945,9.1911,9.0794,7.9954
000006.SZ,8.5034,7.7501,7.499,8.233,7.936,11.2358,13.6611,10.5824,10.6486,8.9815,8.9973,8.8088
000020.SZ,468.7081,444.86,415.967,533.1677,573.2732,676.486,777.9294,575.2001,568.6424,410.382,408.3403,407.932
000008.SZ,27.1786,24.7945,24.9534,28.1237,26.4434,26.0012,26.8856,111.3493,105.143,98.2065,171.0296,159.7115
000014.SZ,13.8824,12.4211,74.8077,46.9531,49.0487,61.2825,75.8952,46.282,43.8175,40.5215,40.5215,36.194
600609.SH,69.04,69.5711,70.4562,114.9176,142.9463,214.0372,231.7717,179.4549,169.6711,139.0325,114.9817,112.2394
600610.SH,,,,,,,,110.5012,91.9848,83.8217,85.1926,98.6749
600611.SH,9.3243,8.4702,8.3123,16.8784,18.0505,17.6286,18.7069,16.3305,15.3574,14.892,14.1771,13.5992
600612.SH,18.9648,16.7248,14.8835,15.289,17.3466,17.9308,22.8088,19.9636,17.4737,16.3088,16.7274,16.0783
600613.SH,36.9556,32.3847,29.2368,51.1448,49.7499,52.1522,64.4734,71.2986,64.352,63.4837,,
600655.SH,9.4489,8.7642,8.8493,9.4259,10.2569,10.9886,12.7374,11.6918,10.4176,9.4991,9.8697,9.7059
600615.SH,75.9515,64.9138,62.7526,49.289,57.3794,57.6906,57.1927,51.0938,45.8141,,,
600616.SH,,,,,,,,,,,375.8097,618.4721
000019.SZ,10.1325,10.5122,13.533,32.3259,29.703,28.4978,33.6728,30.8422,25.7795,26.0573,26.1577,25.0873
600617.SH,108.6797,93.9236,85.0231,,,,,,,,,
600618.SH,8.9031,9.727,8.2393,14.3646,12.3223,12.202,14.9346,18.5222,16.8532,15.8805,17.4596,16.2586
600619.SH,23.4244,24.3028,24.7127,32.6342,34.1251,33.0069,33.6695,43.6963,39.2173,37.2903,39.32,38.0448
600620.SH,47.5587,43.0402,45.0314,65.6479,71.0501,69.0537,98.5306,67.8766,62.6168,52.6709,53.649,46.4256
000501.SZ,7.8508,7.5532,8.1342,12.0714,13.7071,17.0984,27.3378,24.6502,19.5301,16.4656,15.9227,14.7105
000502.SZ,38.5012,41.7417,,,,,,,,,,
000503.SZ,,,,,,,,1146.8495,1042.5904,5679.2894,6011.4116,4627.5691
600621.SH,216.4719,228.4034,255.9861,185.4425,183.5434,215.6049,242.751,42.2973,37.689,28.6514,30.5539,37.0257
600622.SH,7.4156,8.6549,7.2957,18.0384,14.8458,15.6838,16.7614,19.8102,17.7916,12.064,13.0049,11.3583
600623.SH,17.9147,16.2019,15.0225,96.6117,95.6863,95.5013,107.9016,396.2718,389.2081,84.8038,95.5999,90.7495
000504.SZ,,,,94.0496,97.3289,166.456,165.9314,136.011,142.4352,109.3183,106.5018,107.734
000505.SZ,24.8356,24.5632,39.7561,42.2619,41.0399,41.398,48.5226,53.3087,46.6743,38.7056,39.0185,39.6889
600624.SH,123.7226,132.2507,107.7161,106.906,122.7062,127.2933,124.3627,182.3989,160.4141,169.1708,159.8813,141.9354
600626.SH,13.4632,13.8919,10.8263,,,,,,,,,
600628.SH,65.014,80.108,93.551,,,,,,,1367.506,1332.5586,1185.1718
600630.SH,393.0357,407.8837,328.4032,,,,,,,,,
600629.SH,15.808,14.7986,14.7033,16.7378,17.7652,18.3859,19.1564,16.6813,15.6455,14.7171,14.416,13.8847
600635.SH,29.6245,26.4235,22.6561,25.0413,25.216,26.5554,28.7683,24.9362,22.051,21.7419,31.3698,30.273
600633.SH,24.3026,26.4951,27.1819,27.7316,26.8622,28.3401,30.6583,26.6828,23.4579,22.8072,22.6086,20.2014
600634.SH,,,,,,,,0.202,0.1912,0.1768,,
000506.SZ,152.0922,158.7049,148.2348,,,,,,,,,
600637.SH,19.9785,19.1131,16.4606,17.4145,19.3279,18.6515,19.5985,18.4325,16.7552,15.3672,15.9196,14.9654
600636.SH,401.8311,517.0201,427.3019,40.0503,37.3005,39.7915,46.4234,42.3209,32.8279,38.5821,31.4189,31.3489
000507.SZ,31.3759,27.2575,27.5284,20.8008,21.8325,21.6262,24.3088,23.7531,22.6162,21.361,23.7662,23.1547
600639.SH,14.9923,14.0623,12.6733,12.3178,12.5594,13.7843,13.1201,13.4354,11.8742,12.0162,11.98,11.8086
600638.SH,8.4772,7.563,7.2859,,,,,,,,,
600640.SH,105.2419,101.7866,79.2314,238.9982,228.5647,277.5329,269.0469,1496.7351,1374.7139,1207.9223,,
600641.SH,25.8239,27.9333,23.3949,33.4015,36.3218,42.8926,44.8517,91.6479,75.8641,74.2089,74.2971,88.9889
600642.SH,12.092,11.5027,11.5245,11.8944,12.0739,13.2633,12.7921,13.1151,12.5887,11.9478,10.6983,10.0081
600643.SH,10.8196,9.9388,9.4627,9.5555,9.3018,9.6038,10.5219,10.6702,9.9838,9.8204,10.1269,9.2197
600644.SH,32.7017,29.7453,29.0212,35.2214,35.3618,35.0811,39.8257,40.9928,37.5646,27.1154,29.3433,32.3863
000023.SZ,24.5234,22.637,28.5147,90.6912,94.5576,91.999,109.3412,434.3116,413.0195,,,
600645.SH,,,,349.5485,381.036,529.477,553.0926,207.477,169.2902,161.9148,117.3392,102.7654
600647.SH,,,,,,,,,,885.5856,886.256,804.4684
600648.SH,21.1814,18.3664,18.9912,41.6267,39.5961,41.0175,44.4115,31.5548,28.0308,31.7331,28.6477,27.2807
001872.SZ,10.2197,8.9825,9.3724,12.224,11.9055,12.5253,14.5052,25.2506,24.0021,23.4246,18.5344,17.9701
000510.SZ,40.0131,50.2854,37.6652,36.3956,36.579,40.3377,42.4463,46.0061,44.0636,52.3762,56.2698,58.6563
600649.SH,21.5178,20.3791,21.5571,38.2904,39.7745,44.0785,43.1138,39.4035,38.6575,37.4367,34.8842,33.8857
600657.SH,5.5898,5.2708,5.3012,4.0125,3.9209,4.1958,4.8883,5.0923,4.5768,4.2299,4.6061,4.1181
600658.SH,21.7515,21.4773,19.5124,12.7653,15.4291,15.7456,16.5368,16.7126,14.6403,10.0648,10.6548,9.388
000026.SZ,22.8238,19.9209,17.4185,26.8834,25.8349,27.5921,46.5253,41.367,41.4909,23.4311,20.575,19.4197
600650.SH,20.3789,18.0116,17.7145,21.0123,22.7373,22.1863,24.5822,37.9279,33.9336,31.5586,40.9023,40.5874
600660.SH,19.2475,18.136,16.6004,18.0376,17.9008,19.0219,22.2393,30.8464,34.4761,41.3323,44.2216,52.9887
600662.SH,26.335,23.0654,22.5898,,,,,204.3644,172.2126,,,
600661.SH,,,,530.3532,546.6717,529.6732,567.0699,,,,,
000025.SZ,75.0352,71.7777,66.4982,36.9667,36.7792,38.1961,43.5724,47.3448,43.1951,41.8329,41.7225,37.3074
600663.SH,14.103,12.5421,12.1661,13.2451,12.8718,12.6795,15.3259,15.1796,13.9725,13.3527,13.5268,12.4238
600664.SH,94.4643,106.3598,93.9978,640.2277,603.4933,538.7708,617.4874,,,,,
600665.SH,9.8168,8.9896,9.4859,9.7876,9.8722,9.7876,10.0414,10.1081,9.6461,9.6506,9.734,8.6772
600666.SH,,,,,20.5888,18.9468,18.6941,167.4383,150.6945,,,
000514.SZ,142.4965,134.6181,13.5066,15.0347,14.7635,14.8022,16.1197,12.7705,12.0248,11.6683,12.032,11.4865
600668.SH,6.8827,6.9164,6.7865,7.3259,6.916,6.8689,8.0985,9.3392,8.4582,8.1683,8.2622,7.6799
600667.SH,30.7477,38.5628,31.6766,35.8661,36.2982,39.2898,37.2501,36.2045,32.957,31.0987,32.9622,28.8686
000517.SZ,10.4322,10.3574,10.0583,6.2122,5.8991,5.8991,6.2603,5.7045,4.4527,4.2086,5.2608,4.6942
000028.SZ,17.0025,14.982,13.4538,14.4868,14.1499,15.7958,17.4593,18.3729,15.6495,16.2604,16.2112,15.0056
600671.SH,,,,27.3626,25.6858,14.7184,20.6713,29.0043,24.043,25.5968,24.8406,23.659
600600.SH,34.217,30.2311,33.3423,45.054,54.0563,65.339,71.5833,57.3903,49.3428,48.1519,55.3121,60.4178
000027.SZ,13.0194,11.962,11.8518,14.1056,14.1313,14.306,17.4816,7.7663,7.2648,6.6393,6.9456,7.4601
000518.SZ,,,,111.6672,106.7165,114.4176,175.7521,177.7622,161.6332,179.9498,179.9498,198.1383
000029.SZ,,,,,,,,,,,27.354,23.1682
600673.SH,26.4525,23.9537,20.0763,21.0616,19.8706,21.6571,22.66,25.8272,24.6714,22.6785,34.3946,31.0045
600674.SH,13.6846,13.7447,13.8198,14.4516,14.3066,14.935,13.8388,14.5275,14.223,14.6522,15.176,14.6231
600675.SH,7.6249,6.9895,7.1232,22.4066,21.665,21.5591,22.5655,20.416,18.8233,18.9198,20.5861,18.5939
600676.SH,20.3011,18.4038,19.0204,,,,,,,,,
000030.SZ,10.094,12.6013,11.6719,10.5546,12.5981,14.3497,17.314,14.1159,13.4542,14.0266,14.2697,13.7274
600678.SH,76.7386,84.6486,76.5025,59.314,55.6862,53.6909,68.1113,50.0668,43.5334,39.6001,50.604,45.731
000031.SZ,9.3192,8.2021,9.6955,16.8522,15.3202,15.9142,17.1336,23.1582,19.6443,27.7855,29.0041,26.8105
600679.SH,276.2509,249.4644,239.6815,190.4974,217.9231,226.818,246.4607,102.2383,96.3384,86.0164,102.7517,113.4011
000519.SZ,28.9457,26.5712,26.3074,57.6437,62.2469,64.7203,77.0185,55.1906,52.9245,45.7613,46.7803,46.4098
600682.SH,7.8771,7.2412,6.6769,6.9744,7.811,8.6561,14.7683,15.7482,13.2224,14.8742,15.7984,16.2605
600681.SH,9.372,8.3018,8.2406,13.2023,12.3545,12.4029,13.1054,15.0894,13.6069,15.3363,15.4561,15.1866
000521.SZ,64.3018,62.7476,59.9647,,,,,,,,,
000520.SZ,128.7441,129.7269,122.5199,178.0097,177.5312,173.7031,172.746,278.7077,260.3818,254.2148,263.9922,255.719
600683.SH,12.123,10.8021,10.9195,30.2273,28.7635,28.4708,31.3984,34.9421,31.3583,15.151,16.2359,15.0014
600685.SH,,,36.3482,5.3028,6.0949,6.0061,13.3654,14.285,12.8847,11.2416,9.3236,9.5279
000513.SZ,30.0144,28.923,28.2088,28.4628,28.5347,34.395,39.1315,32.1369,29.5723,27.0878,23.6336,22.7148
600684.SH,,,,37.679,40.1178,44.2637,44.5076,21.3412,20.9215,16.9278,17.7288,16.02
000525.SZ,12.6947,13.8952,14.1953,,,,,,,,,
000032.SZ,53.9291,67.2624,53.8174,59.8205,56.1669,72.243,99.0809,81.2613,72.3679,66.2588,68.6765,58.4828
000526.SZ,314.6874,437.2206,443.7928,,,,,,,,,
000523.SZ,121.1371,125.5222,121.868,112.0428,108.6716,109.2666,119.5785,,,,,
600689.SH,88.8836,80.3817,77.8698,784.561,828.369,806.465,859.2337,,,,,
600688.SH,18.3478,18.9153,19.0199,108.5904,96.1646,94.0036,96.975,,,,,
600686.SH,27.6341,32.041,29.4777,,,,,,,,,
000524.SZ,17.0374,14.9376,14.2217,48.8542,49.4013,48.1507,80.9807,,,,,
000528.SZ,10.196,9.8875,9.6562,11.5062,10.7034,10.5529,12.0079,10.3823,10.0686,9.1864,10.1259,9.6039
000529.SZ,19.1969,18.5476,19.5075,15.6629,15.1019,16.5157,19.4777,16.7012,13.3082,11.3451,11.6308,11.3955
600692.SH,82.8804,73.1931,86.1095,138.665,153.7036,156.3575,156.5786,160.9198,139.1149,267.8773,281.733,293.9092
600690.SH,13.4469,12.3245,10.4273,14.2459,15.2503,16.31,,25.1405,24.5993,24.2903,26.3519,39.1606
600695.SH,50.2615,55.5593,144.6398,,,,,133.8837,121.0238,74.1141,87.5557,84.7194
600694.SH,7.4533,6.7552,6.6761,11.6749,12.8864,12.5822,13.6469,13.6532,12.7372,13.3509,13.935,11.9763
600693.SH,10.2263,9.3337,9.7217,13.6315,13.1225,13.7164,17.0818,11.6068,10.1914,16.8585,16.6757,15.7615
000541.SZ,25.0705,23.3499,22.1702,25.7976,35.8899,29.3129,37.8743,29.6596,26.7133,25.1035,26.6264,28.6106
000539.SZ,23.8344,21.553,21.2528,17.4403,18.8978,17.0382,19.4004,14.8498,14.4309,14.1428,14.6384,14.7909
000547.SZ,41.1182,43.4369,41.5819,35.4775,33.6528,31.5741,40.9054,42.5751,44.6325,41.1232,44.5569,56.2071
000550.SZ,390.3074,352.6536,68.3857,52.8848,52.9747,55.5807,66.7238,42.9393,48.2631,49.334,48.3934,51.0915
000553.SZ,35.6846,35.3483,94.4919,,,,,,,,,
600697.SH,10.3136,9.2871,9.1344,13.8244,14.9261,14.8687,17.35,22.7638,21.0275,20.2755,22.2059,20.5577
600699.SH,27.9298,33.7651,24.151,34.8784,33.7815,40.8086,38.6662,,,,,
600800.SH,82.8537,76.5169,82.3785,,,,,,,466.1079,499.1066,568.4562
600698.SH,,,,235.3635,199.3781,203.2684,201.2118,214.2775,198.5987,161.9436,173.3481,188.554
600696.SH,349.1263,312.9778,380.0224,358.3218,314.5749,256.4375,253.2716,325.9118,297.7782,452.312,502.6975,677.5992
000544.SZ,15.3798,14.7714,13.2384,13.0591,11.818,12.0588,13.7445,13.0018,11.4864,10.6854,10.6705,10.447
000530.SZ,22.3005,23.016,22.2409,,,,,,,,,
000537.SZ,5.0709,4.594,3.93,3.9965,3.8825,4.3806,4.9747,4.9113,4.1963,4.5191,4.785,4.5048
000538.SZ,26.8745,24.4198,26.1207,24.9756,24.3838,25.9407,30.3014,33.6663,29.6657,26.8698,24.8629,29.6465
000554.SZ,990.3285,959.1207,946.6376,,,,,517.6774,459.2625,401.8564,428.5854,406.4648
000546.SZ,16.3209,15.6022,14.3926,13.5533,14.886,15.2494,13.8865,12.891,12.7078,11.1953,10.9565,10.5632
000545.SZ,39.099,38.4272,36.5461,532.6991,978.6175,951.7535,1051.5341,,,,,
000548.SZ,36.9071,36.7244,33.1875,55.6997,55.0975,56.0008,62.0224,24.7171,25.129,23.187,23.861,23.3988
000543.SZ,10.4199,9.7029,9.225,11.6029,11.5431,12.0215,12.4103,10.4552,10.1606,10.2348,10.5912,10.6421
600807.SH,3.1886,2.809,2.7922,27.7776,28.5551,40.9375,38.5202,76.1192,68.7759,,,
600805.SH,159.497,150.8756,35.7961,,,,,,,,,
600804.SH,91.1277,119.154,97.5049,,,,,,,,,
600803.SH,9.3317,8.6278,8.8274,12.1034,13.0242,13.7981,15.9333,14.1644,27.822,24.1777,26.5503,25.59
600801.SH,6.7837,7.7315,7.3765,9.7906,9.1637,8.7433,10.1003,10.7923,9.6999,9.1793,9.3046,7.8317
000532.SZ,64.5274,64.9358,48.2835,52.931,55.8908,58.8999,61.0211,62.8105,53.382,23.3961,24.594,21.9362
000533.SZ,,,,241.4228,236.3402,230.4105,254.1292,64.5796,60.3309,120.3664,115.8807,113.6378
600802.SH,12.1237,14.9171,15.0009,10.0916,8.7671,8.824,10.8228,10.6048,9.3017,8.5014,9.4769,8.7479
600809.SH,42.0793,37.1329,38.8249,40.9141,48.8445,55.2842,68.7583,73.0403,73.3996,72.5635,77.579,120.9681
600810.SH,8.9487,10.1394,8.9487,16.4397,16.1706,15.9912,20.1404,35.4483,47.7979,47.5426,50.2318,45.7503
000531.SZ,12.7059,11.8756,11.1245,6.9164,6.6868,6.8889,9.3964,9.4233,8.0196,7.5187,8.2187,7.9058
000552.SZ,11.9918,11.1529,9.6754,9.8343,9.572,9.7032,10.7958,10.9758,11.0629,11.6291,13.5957,14.0329
000551.SZ,31.9524,33.3765,26.0094,29.3096,43.2595,36.433,35.2086,31.7574,29.1082,27.8343,30.3926,27.8684
600811.SH,33.7892,33.0592,40.0465,20.7069,22.447,25.6371,30.3353,30.2579,23.8147,22.2986,25.4176,23.0782
600808.SH,11.9878,11.6923,17.2014,14.1902,14.1902,13.9736,14.6235,27.1903,25.8356,24.9648,17.5347,16.7778
000563.SZ,30.2601,27.848,25.7284,25.9441,24.6469,26.7369,24.7708,25.0179,23.4736,21.2467,22.5672,22.6272
000559.SZ,29.0935,27.6142,25.1486,33.7007,32.2089,32.8192,41.5664,38.7253,39.8142,46.5327,50.8207,42.4829
000534.SZ,36.7329,37.2382,66.3826,46.5791,45.9173,49.4298,53.9605,85.9225,63.5432,58.1513,112.9309,114.1829
600812.SH,90.9925,90.6964,77.3713,76.8736,70.0208,113.2457,154.5378,122.4987,106.9419,90.8079,85.8298,88.3188
600814.SH,23.0496,22.0592,24.6252,20.3576,21.2112,24.156,29.5762,21.5553,19.9943,14.7929,15.1404,13.8746
600820.SH,8.7632,8.4319,8.3265,9.0844,9.942,8.9732,9.5609,10.3243,9.7028,8.728,9.0408,8.4621
600819.SH,33.7111,32.824,32.6193,29.0096,27.7565,28.1325,30.7013,29.248,26.1817,21.879,24.1126,30.7626
600817.SH,255.8433,252.8205,808.2245,643.4103,720.5929,617.4609,662.0406,,,,,
000540.SZ,,,,59.8508,59.0859,61.5717,68.6467,45.6888,42.9937,52.2554,55.0057,54.1462
000560.SZ,12.389,10.6759,10.0641,17.5141,16.7951,16.4356,21.0067,20.6061,17.6555,19.9242,21.4568,22.2231
000021.SZ,60.6551,70.8253,69.971,90.5515,100.4095,97.3763,112.721,94.905,76.9682,59.2939,57.559,53.1939
600822.SH,97.8143,86.8606,83.3055,98.5713,113.9539,122.0759,153.2101,117.913,115.1988,111.58,98.2779,98.4634
600823.SH,6.203,6.0816,6.2994,6.5347,6.7552,7.0386,6.8654,13.11,12.2732,11.0515,10.6316,8.7992
600824.SH,40.2999,36.9315,38.0142,125.2379,140.7929,160.7353,167.5157,281.9539,284.7805,221.1989,219.5441,202.4439
600826.SH,30.7164,27.4127,28.5321,,,,,265.6012,254.1419,251.5954,75.8055,66.2029
600825.SH,195.8441,176.1482,193.6144,508.6234,616.5993,588.1846,574.9244,546.2208,576.4139,465.3988,423.0171,356.6458
600827.SH,16.8054,15.2393,15.6609,21.5379,26.5688,39.2958,54.0895,45.8523,49.6733,41.8854,34.56,38.4585
600833.SH,38.8872,39.205,35.8287,37.0195,41.2016,41.4339,53.2832,48.4922,42.2966,32.4254,33.0401,29.9051
600830.SH,105.7885,99.9449,74.6542,110.6926,122.2855,130.1386,125.6511,339.2133,308.7643,297.5462,296.8694,267.2827
600829.SH,15.6118,17.4484,15.4368,18.0832,17.2449,17.7479,20.8376,22.0012,19.8766,20.1108,21.2784,21.6578
600838.SH,23.6781,21.3022,25.3693,27.8997,31.3753,38.0407,36.66,40.3363,37.5413,41.4549,46.1807,40.9165
600837.SH,18.5758,18.1417,15.5075,18.4492,16.5313,18.0055,20.1811,20.9056,19.5,17.2393,16.5762,15.7904
600836.SH,,,,22.0012,19.5423,21.3973,22.864,22.834,18.7821,15.2619,18.0724,17.5032
600828.SH,5.7504,5.0754,5.8584,6.5234,6.454,7.3215,8.241,8.6831,8.119,7.5146,9.5465,9.0377
600831.SH,88.6115,85.6257,77.824,,,,,,,,,
600835.SH,15.0809,13.8505,12.6575,16.1697,16.3111,18.4098,18.8774,17.4268,15.9922,16.9771,17.6695,17.4987
600834.SH,57.1749,51.6418,52.2287,58.968,144.4576,117.5599,109.2837,57.1816,49.7232,45.9208,56.0071,54.9548
600846.SH,12.0807,11.3993,10.7966,8.644,8.5248,8.4453,8.6937,7.4604,7.1823,7.6446,7.6536,7.4639
600845.SH,56.5772,68.2626,59.7805,60.7014,68.6591,71.6802,86.4457,70.9414,73.819,59.2067,56.3736,64.276
600843.SH,45.4808,46.427,39.5512,67.1587,66.9558,66.8544,73.3471,109.3493,98.538,96.2212,79.4406,74.9531
600841.SH,54.8103,49.227,51.3502,56.1976,59.8386,55.1687,60.7884,50.9061,50.413,42.3573,51.2942,
600839.SH,77.8075,92.8385,79.8706,,,,,,,,,
600847.SH,,,,213.6501,237.7117,222.9843,249.535,140.9815,119.1839,111.8008,162.932,153.0905
600848.SH,38.1399,32.9985,32.4973,28.1512,28.9801,30.6806,33.067,35.3214,34.1884,35.0172,33.4094,30.9512
601607.SH,13.7517,13.5772,13.5872,13.1686,12.6704,13.0832,14.5923,14.8896,13.622,13.2153,13.3413,12.7376
600850.SH,37.4557,35.0591,28.9928,30.4974,31.9178,34.132,38.0591,41.8778,34.9974,33.3135,32.9887,37.4057
600851.SH,76.7429,72.8584,76.3639,96.7724,92.8042,95.6203,114.6932,78.0052,70.2526,65.8578,69.7924,76.069
600853.SH,16.5399,16.2307,19.9921,14.156,12.2188,11.809,12.4796,12.8007,12.0054,10.4409,11.2338,10.6655
000035.SZ,31.7392,29.3329,26.4684,17.161,16.3438,17.3653,17.6717,16.8737,14.8476,13.8662,13.9008,12.6679
000039.SZ,19.3385,16.8781,17.9277,53.817,50.9197,52.3684,60.4083,46.2329,47.2885,26.5681,33.0252,33.6081
000565.SZ,33.6886,31.1856,31.5975,36.3092,36.3092,36.8605,41.5074,41.622,37.1762,49.3179,53.6109,49.632
000555.SZ,,,38.7524,39.4759,36.5982,40.2345,43.6092,43.9983,39.2326,41.8562,42.4448,37.3168
600854.SH,,,73.6041,70.6578,72.0203,77.0812,81.7528,146.5862,142.1129,53.1299,54.91,51.7605
600855.SH,93.6609,88.7397,146.1268,229.6654,206.7373,203.6631,226.4631,38.7179,34.5341,45.646,42.0705,44.0313
600857.SH,44.501,46.8232,52.9874,94.7266,94.52,95.553,98.2388,91.0327,89.6696,122.5411,120.0131,118.1504
600859.SH,9.903,8.9215,8.9142,28.3331,52.4348,99.3513,133.5517,149.5354,139.9255,117.5316,81.6953,77.5082
600858.SH,44.3766,38.3943,38.8407,,,,,,,,,
000034.SZ,21.9505,24.921,23.4339,23.7538,21.8685,23.2945,22.8064,26.374,30.106,30.5352,26.7403,24.198
000568.SZ,26.7251,24.1868,23.8149,23.9865,25.8437,27.607,35.7449,42.831,41.1264,44.6249,47.4266,58.5065
