code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
000005.SZ,4.6738,4.3905,4.3119,5.6316,5.2866,5.41,6.0066,11.8914,10.4353,13.3094,13.5724,13.3094
600602.SH,2.5716,2.349,2.0407,2.0509,2.1025,2.0796,2.1569,2.1373,1.9151,1.8306,1.882,1.7005
600651.SH,1.0912,1.2237,1.2317,,1.147,1.1399,1.4106,3.7153,3.7795,3.6122,2.3307,2.1963
600652.SH,151.0543,142.7611,126.7671,10.6083,9.8977,10.4053,10.1515,10.564,10.3136,10.0779,11.0034,9.5123
600653.SH,0.5058,0.5901,0.4953,0.546,0.5114,0.5142,0.5663,0.5804,0.5514,0.5165,0.5269,0.502
600601.SH,1.3173,1.3135,1.206,1.3304,1.2439,1.2364,1.7287,1.7606,1.5497,1.5275,1.4698,1.4661
600654.SH,1.0293,1.0439,1.0099,0.8931,0.745,0.7219,0.7358,0.7932,0.7883,0.8373,0.7188,0.7229
000004.SZ,17.2092,30.693,23.0084,186.1193,194.1881,200.6431,192.8433,78.0838,70.483,29.8564,31.0013,23.2341
000002.SZ,0.9478,0.9678,0.788,0.8247,0.7908,0.8268,0.849,0.845,0.8683,0.8303,0.9253,0.865
000001.SZ,2.1859,2.0396,1.8005,1.885,1.7592,1.7321,1.8052,1.9712,1.983,2.2727,2.5275,2.4763
000009.SZ,1.2092,1.3827,1.0972,1.4943,1.5717,1.9385,1.9066,1.9666,1.7995,1.9247,1.8941,1.9171
600603.SH,3.099,2.7701,2.529,2.1952,1.9833,1.996,2.0904,2.0085,1.881,1.8125,1.8353,1.8315
000012.SZ,1.4128,1.554,1.3483,1.3917,1.4166,1.5441,1.8578,1.798,1.7243,1.7775,2.0464,2.2047
600608.SH,1.3573,1.2422,1.2156,1.267,1.2135,1.2501,1.2642,1.2805,1.2108,1.1818,1.1342,1.084
000016.SZ,0.2161,0.4007,0.3464,0.3467,0.3033,0.3121,0.3333,0.3694,0.3131,0.3017,0.377,0.3681
600604.SH,35.366,31.5674,30.3886,8.6793,8.8991,10.3383,10.2394,10.0147,8.2217,7.9597,8.036,7.1866
600606.SH,0.1869,0.1682,0.1558,0.1651,0.1561,0.1803,0.2279,0.2134,0.1777,0.1656,0.1723,0.156
