code,name,type
SH501018,南方原油LOF,lof
SH510050,华夏上证50ETF,etf
SH510300,华泰沪深300ETF,etf
SH510500,南方中证500ETF,etf
SH510880,华泰红利ETF,etf
SH510900,港股互联网ETF,etf
SH511010,国债ETF,etf
SH511380,博时可转债ETF,etf
SH512100,南方中证1000ETF,etf
SH512170,华宝医疗ETF,etf
SH512200,南方房地产ETF,etf
SH512400,南方有色金属ETF,etf
SH512660,国泰军工ETF,etf
SH512690,鹏华酒ETF,etf
SH512800,华宝银行ETF,etf
SH512880,国泰证券ETF,etf
SH513030,德国ETF,etf
SH513050,易方达中概互联50,etf
SH513500,博时标普500,etf
SH513520,日经ETF,etf
SH513980,景顺港股科技50ETF,etf
SH515210,国泰钢铁ETF,etf
SH515220,煤炭ETF,etf
SH516020,华宝化工ETF,etf
SH518880,华安黄金etf,etf
SH588000,华夏科创50ETF,etf
SZ159338,中证A500ETF,etf
SZ159605,中国互联网30,etf
SZ159636,工银港股通科技30ETF ,etf
SZ159792,富国港股通互联网ETF,etf
SZ159865,国泰养殖ETF,etf
SZ159915,易方达创业板ETF,etf
SZ159941,广发纳指100,etf
SZ159967,创成长ETF,etf
SZ159985,豆粕ETF,etf
SZ161226,国投白银LOF,lof
SZ162411,华宝油气LOF,lof
SZ164824,工银印度基金LOF,lof
