,163817.OF,000008.OF,000051.OF,006104.OF
2019-01-02,1.654,1.1809,0.994,0.8738
2019-01-03,1.657,1.1758,0.993,0.8675
2019-01-04,1.675,1.2023,1.015,0.8852
2019-01-07,1.689,1.2233,1.021,0.897
2019-01-08,1.689,1.2204,1.019,0.8942
2019-01-09,1.696,1.2235,1.028,0.8996
2019-01-10,1.7,1.2216,1.026,0.8971
2019-01-11,1.703,1.2304,1.033,0.9014
2019-01-14,1.694,1.2228,1.025,0.8969
2019-01-15,1.707,1.2392,1.044,0.908
2019-01-16,1.709,1.2364,1.044,0.9081
2019-01-17,1.705,1.2276,1.039,0.9017
2019-01-18,1.717,1.2394,1.056,0.9142
2019-01-21,1.718,1.2462,1.062,0.9206
2019-01-22,1.711,1.2287,1.049,0.9111
2019-01-23,1.713,1.2307,1.048,0.9143
2019-01-24,1.726,1.2369,1.053,0.919
2019-01-25,1.746,1.2316,1.062,0.9205
2019-01-28,1.738,1.2284,1.061,0.9184
2019-01-29,1.736,1.213,1.064,0.9158
2019-01-30,1.739,1.2014,1.056,0.9109
2019-01-31,1.745,1.1919,1.067,0.909
2019-02-01,1.764,1.2238,1.081,0.9253
2019-02-11,1.779,1.2484,1.1,0.9469
2019-02-12,1.781,1.2581,1.107,0.9562
2019-02-13,1.793,1.2778,1.128,0.969
2019-02-14,1.797,1.283,1.13,0.9712
2019-02-15,1.781,1.2751,1.109,0.9622
2019-02-18,1.814,1.3175,1.143,0.9953
2019-02-19,1.806,1.3191,1.141,0.9903
2019-02-20,1.802,1.3191,1.145,0.9914
2019-02-21,1.8,1.3169,1.142,0.9872
2019-02-22,1.829,1.3484,1.166,1.0036
2019-02-25,1.9,1.4193,1.232,1.0499
2019-02-26,1.88,1.4182,1.218,1.0511
2019-02-27,1.863,1.4122,1.216,1.0437
2019-02-28,1.864,1.4142,1.213,1.0497
2019-03-01,1.886,1.4257,1.237,1.0592
2019-03-04,1.908,1.4502,1.251,1.0762
2019-03-05,1.926,1.4864,1.258,1.0951
2019-03-06,1.925,1.5113,1.268,1.1082
2019-03-07,1.903,1.5298,1.256,1.1065
2019-03-08,1.866,1.4745,1.207,1.0693
2019-03-11,1.911,1.5311,1.229,1.1084
2019-03-12,1.928,1.5563,1.237,1.1242
2019-03-13,1.901,1.5228,1.227,1.1068
2019-03-14,1.883,1.4895,1.219,1.0895
2019-03-15,1.897,1.5055,1.234,1.1064
2019-03-18,1.932,1.5431,1.267,1.1384
2019-03-19,1.953,1.5486,1.262,1.1379
2019-03-20,1.943,1.5467,1.262,1.1363
2019-03-21,1.959,1.5666,1.262,1.1408
2019-03-22,1.954,1.5751,1.262,1.1471
2019-03-25,1.929,1.5571,1.233,1.1312
2019-03-26,1.891,1.5158,1.22,1.1074
2019-03-27,1.891,1.5298,1.234,1.1193
2019-03-28,1.884,1.5093,1.229,1.1068
2019-03-29,1.93,1.5564,1.274,1.1438
2019-03-31,1.93,1.5564,1.274,1.1437
2019-04-01,1.985,1.612,1.306,1.1801
2019-04-02,1.999,1.6168,1.305,1.1824
2019-04-03,2.009,1.633,1.321,1.1994
2019-04-04,2.014,1.6425,1.334,1.2041
2019-04-08,2.0,1.6358,1.332,1.2085
2019-04-09,1.984,1.6385,1.338,1.209
2019-04-10,1.971,1.637,1.341,1.2121
2019-04-11,1.944,1.6043,1.313,1.1837
2019-04-12,1.938,1.6005,1.31,1.178
2019-04-15,1.93,1.5848,1.306,1.1668
2019-04-16,1.946,1.6167,1.341,1.1892
2019-04-17,1.948,1.6248,1.341,1.1917
2019-04-18,1.954,1.6162,1.336,1.1848
2019-04-19,1.962,1.6255,1.352,1.1905
2019-04-22,1.934,1.6024,1.322,1.1678
2019-04-23,1.911,1.5777,1.32,1.1558
2019-04-24,1.91,1.5915,1.323,1.163
