,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,013404.OF,大成标普500等权重美元,大成基金,中国银行,股票型,20210907,,,,,,1.0,0.25,,0.155,,,标普500等权重指数(全收益指数),L,被动指数型,契约型开放式,,20210907,20210908,O
1,013501.OF,南方品质优选C,南方基金,中国建设银行,混合型,20210907,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20210907,20210907,O
2,013500.OF,南方金融主题C,南方基金,兴业银行,混合型,20210907,,,,,,1.0,0.1,,1.0,,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20210907,20210907,O
3,013425.OF,博时标普500ETF联接A美元现汇,博时基金,中国工商银行,股票型,20210907,,,,,,0.6,0.25,,1.0,,,经人民币汇率调整的标的指数(标普500净总收益指数)收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
4,013499.OF,博时标普500ETF联接C美元现汇,博时基金,中国工商银行,股票型,20210907,,,,,,0.6,0.25,,1.0,,,经人民币汇率调整的标的指数(标普500净总收益指数)收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
5,851860.OF,海通鑫逸A,海通资管,上海银行,债券型,20210907,,,20210907,,,0.7,0.05,,1.0,,,中债-综合全价(总值)指数收益率*85%+沪深300指数收益率*10%+银行活期存款利率(税后)*5%,I,债券型,契约型开放式,,,,O
6,851880.OF,海通鑫逸C,海通资管,上海银行,债券型,20210907,,,20210907,,,0.7,0.05,,1.0,,,中债-综合全价(总值)指数收益率*85%+沪深300指数收益率*10%+银行活期存款利率(税后)*5%,I,债券型,契约型开放式,,,,O
7,011781.OF,泓德慧享A,泓德基金,中国邮政储蓄银行,混合型,20210906,,,20210830,,2.0007,0.8,0.2,,1.0,0.01,,中国债券综合全价指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
8,013085.OF,申万菱信乐同A,申万菱信基金,中国工商银行,混合型,20210906,,,20210820,,14.551,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
9,013506.OF,华安研究精选C,华安基金,中国银行,混合型,20210906,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20210906,20210906,O
