,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-02,115.5057,115.9747,115.0027,115.1207,39226000.0
2019-01-03,115.1236,117.4836,115.0336,115.6136,16124000.0
2019-01-04,115.2825,119.6825,115.2825,118.7525,66770300.0
2019-01-07,119.0792,121.4692,118.9792,120.8292,56869200.0
2019-01-08,119.8791,121.8981,119.8791,120.9081,28294700.0
2019-01-09,121.186,122.867,120.977,121.477,84185200.0
2019-01-10,121.3759,121.8559,120.2349,121.4759,40789600.0
2019-01-11,120.9748,122.4748,120.7748,122.3298,65821300.0
2019-01-14,122.6215,122.8715,121.1715,121.6715,26907800.0
2019-01-15,121.5254,123.6504,121.5254,123.3704,87250500.0
2019-01-16,123.4693,123.6143,122.1393,122.2693,64037700.0
2019-01-17,122.3032,122.3032,121.4682,121.4682,67621000.0
2019-01-18,121.4671,123.3661,121.4671,123.2381,24079100.0
2019-01-21,123.2348,123.9638,122.7648,122.8638,29180900.0
2019-01-22,122.7637,122.7667,121.4827,121.8427,14805600.0
2019-01-23,121.8316,122.4516,121.7116,121.9936,7686300.0
2019-01-24,121.7115,123.7605,121.5105,123.4605,25829500.0
2019-01-25,123.4595,124.9595,123.0295,124.1595,46065500.0
2019-01-28,124.7562,125.4562,122.7122,123.0562,72749100.00000001
2019-01-29,122.9551,123.3951,122.3051,122.5051,19387099.999999996
2019-01-30,122.454,123.454,122.424,122.954,26886100.0
2019-01-31,123.4529,125.4229,123.4529,124.2659,54889700.0
